model,fn,ece,ece_lo,ece_hi,mce,brier,brier_lo,brier_hi,nll,split
nohidden,0.1,0.020439757482729252,0.020342506114682683,0.02053974093861857,0.08593784458935261,0.02671912,0.026644874,0.02679775,0.1378294,7
nohidden,0.25,0.0226841960594096,0.02257702256963003,0.022811193254593656,0.09015712141990662,0.039433688,0.03935071,0.03953273,0.15005766,7
nohidden,0.5,0.022572520584925003,0.02244559257005879,0.02271204469004318,0.0857042670249939,0.05652527,0.056402624,0.05665658,0.19359377,7
nohidden,0.75,0.02758738501624659,0.02743730222460336,0.027746259941332504,0.08641386032104492,0.07355165,0.07340017,0.07370309,0.24327587,7
nohidden,0.9,0.035884120450795025,0.03567303362627934,0.03603989229362637,0.07270511984825134,0.08656877,0.08638769,0.08673684,0.28412837,7
hidden,0.0,0.005740399041629699,0.0056701234612210345,0.005798540200095682,0.06862324476242065,0.0058259047,0.0057857344,0.00586376,0.026834367,8
hidden,0.1,0.020103235146219783,0.020006231017170167,0.020203236206227656,0.06668819673359394,0.02526951,0.02519668,0.025345886,0.12114787,8
hidden,0.25,0.023670589434826503,0.023555619585608933,0.02381731384682391,0.10087716579437256,0.038084675,0.038005114,0.03818464,0.14252166,8
hidden,0.5,0.02494072075426884,0.024807470251400576,0.02506820928417922,0.11025112867355347,0.05505341,0.05494371,0.05519605,0.18892835,8
hidden,0.75,0.032812466551345884,0.032647516718331916,0.032972925927999816,0.12814271450042725,0.07263634,0.07249169,0.0728091,0.24118471,8
hidden,0.9,0.04161173791566389,0.04143374688143085,0.0417812704538556,0.09003220498561859,0.0863931,0.08622111,0.08660676,0.28719187,8
nohidden,0.0,0.006009662571304919,0.005940106302031053,0.006065300060575839,0.07876300811767578,0.00590635,0.0058670924,0.0059402375,0.028515162,8
nohidden,0.1,0.020289423819778343,0.02019190840066338,0.02038508365212233,0.06946967914700508,0.02588117,0.025788309,0.02595864,0.13549073,8
nohidden,0.25,0.021798229757113187,0.0216916951423845,0.021929727735515117,0.09628903865814209,0.03718599,0.037104085,0.037290856,0.14011513,8
nohidden,0.5,0.022290168852614655,0.022176377473441738,0.02241932854786281,0.08823156356811523,0.053287826,0.053175464,0.05342384,0.18248595,8
nohidden,0.75,0.02658346780007783,0.02643067049486832,0.026724079221595545,0.08374190330505371,0.06884214,0.06869261,0.069028504,0.22764282,8
nohidden,0.9,0.03485271318063768,0.03466186635889888,0.03503266849337213,0.07694676518440247,0.08127072,0.08109007,0.08148726,0.26674837,8
hidden,0.0,0.021078948073085874,0.0209051462991601,0.021240447785605368,0.21520021557807922,0.01656406,0.01644885,0.016664986,0.10189677,9
hidden,0.1,0.029545420282828933,0.029418595445678777,0.02967349970446641,0.21277540922164917,0.035304666,0.035205502,0.03540109,0.17952143,9
hidden,0.25,0.03667960792254948,0.03653499409598263,0.036818054357260176,0.17117351293563843,0.053340793,0.053198658,0.053468082,0.23275633,9
hidden,0.5,0.046280291260591154,0.04609386084445984,0.046465689696576426,0.13538557291030884,0.07904584,0.0788431,0.079235815,0.3097691,9
hidden,0.75,0.05997123761247631,0.059713300236824106,0.06019686514897796,0.1212950348854065,0.10343947,0.10316087,0.103694685,0.39280656,9
hidden,0.9,0.07539171125331863,0.07511953402391292,0.07568502815621658,0.14716769754886627,0.12174537,0.12143282,0.12203445,0.4686774,9
nohidden,0.0,0.009998999851586645,0.009925983825802205,0.010060853987434653,0.049107372760772705,0.009519371,0.009471059,0.009558867,0.07824766,9
nohidden,0.1,0.02899106197703243,0.02888018192615917,0.029090560695715844,0.08384674042463303,0.03479818,0.03471157,0.034881525,0.21179196,9
nohidden,0.25,0.03482179669807439,0.034700243574335786,0.03496090683651718,0.08790141344070435,0.051294614,0.05117346,0.051404417,0.2262,9
nohidden,0.5,0.03800135611558253,0.037810073890461975,0.03816887214231021,0.09264099597930908,0.0738255,0.073637575,0.07400135,0.2806987,9
nohidden,0.75,0.04603747742026763,0.04580518261611853,0.04620275067161648,0.09680193662643433,0.095593795,0.0953453,0.09580798,0.34818923,9
nohidden,0.9,0.05681863532372982,0.05660490326558185,0.05706284394307338,0.10078832507133484,0.11046365,0.1101982,0.1106927,0.40140557,9
hidden,0.0,0.00653364698942458,0.00646818364324897,0.006611954529811657,0.06543368101119995,0.006406663,0.006368662,0.0064519434,0.029356744,10
hidden,0.1,0.020388874204460835,0.02024858259800347,0.02049893687529362,0.08405637741088867,0.025741536,0.025636602,0.025831662,0.12346276,10
hidden,0.25,0.023748716420997667,0.02361038227785431,0.02388773165594817,0.15675300359725952,0.038996458,0.038859066,0.039111525,0.14606886,10
hidden,0.5,0.027304892892208384,0.027145739845850256,0.027455019674973952,0.11272507905960083,0.057601064,0.057393804,0.057762954,0.19999799,10
hidden,0.75,0.035728476009160695,0.035538028641368714,0.03590041196753219,0.10960322618484497,0.07588072,0.075613976,0.07607949,0.25557336,10
hidden,0.9,0.04558671772500858,0.04529043540068353,0.04582272630953883,0.0963076651096344,0.09018516,0.08983158,0.09046168,0.3037741,10
nohidden,0.0,0.006836941952072443,0.006774011426630437,0.006905727582670814,0.0762399435043335,0.00629573,0.006260806,0.006333823,0.031496953,10
nohidden,0.1,0.02138406181013634,0.02124983842841228,0.02148434435495157,0.06434684991836548,0.026657686,0.026545182,0.026747288,0.14308263,10
nohidden,0.25,0.02252809643813371,0.022395199575174562,0.02265409977317967,0.11469665169715881,0.03821138,0.038074773,0.03832127,0.14545305,10
nohidden,0.5,0.024584723173395644,0.02444069813950083,0.02473199522508048,0.09500062465667725,0.055862017,0.05566345,0.056012332,0.192831,10
nohidden,0.75,0.030026235384304167,0.029855442044508598,0.030181968143803015,0.08635711669921875,0.072573274,0.07231859,0.07276263,0.24200687,10
nohidden,0.9,0.039960030486181436,0.03969995447748076,0.04019776375539853,0.08992215991020203,0.085741036,0.085410036,0.08599744,0.28461394,10
