model,fn,ece,ece_lo,ece_hi,mce,brier,brier_lo,brier_hi,nll,split
nohidden,0.9,0.020463696535670484,0.01723275417420773,0.023030748134936056,0.03770780563354492,0.049738366,0.046355043,0.05273853,0.16773789,3
hidden,0.0,0.008859018558792202,0.008648476546335864,0.009090711401776103,0.09120234474539757,0.007004137,0.0068656444,0.007145778,0.028457638,4
hidden,0.1,0.009400899244084476,0.009135661877818895,0.009702718139212018,0.01563107967376709,0.016714016,0.016559575,0.016906833,0.06460538,4
hidden,0.25,0.018347849361009826,0.01790907104201394,0.018759138518924804,0.05888858437538147,0.029312555,0.028987074,0.029610448,0.107844554,4
hidden,0.5,0.022158992838757316,0.021630179989987175,0.02276083482915543,0.08836394548416138,0.044282205,0.04377406,0.04477265,0.15248762,4
hidden,0.75,0.02949531956533037,0.028704202801456493,0.030374371217722067,0.12214946746826172,0.05823205,0.05758798,0.058961052,0.1961491,4
hidden,0.9,0.032093230239622766,0.03140177604749236,0.03272746050185676,0.08103009313344955,0.06592525,0.065188326,0.0665847,0.22391778,4
nohidden,0.0,0.00813612133051949,0.00790103412279074,0.008347618793569099,0.07631552591919899,0.0058162925,0.0057081794,0.0059235366,0.025052803,4
nohidden,0.1,0.010291338520722516,0.010054383871363275,0.01056368460342437,0.04173649102449417,0.016472,0.016288415,0.016666366,0.065945946,4
nohidden,0.25,0.018202058605087824,0.017755764077786385,0.01863624417413105,0.07149028033018112,0.028586123,0.028266385,0.02888839,0.10566433,4
nohidden,0.5,0.017881398023217657,0.017439394316168855,0.018350509334497493,0.03366118669509888,0.040565334,0.040146917,0.040975,0.13993393,4
nohidden,0.75,0.020379969875655244,0.01989226092661201,0.02097040482225682,0.04628884792327881,0.052177146,0.051669564,0.05270997,0.17544419,4
nohidden,0.9,0.026467477497299982,0.025863763661833385,0.027051685763156388,0.06590445339679718,0.060911387,0.06026311,0.06154315,0.20356484,4
hidden,0.0,0.012944576144658904,0.012683615383621456,0.013222497707624166,0.1034875176846981,0.010561136,0.010392627,0.010765684,0.03950868,6
hidden,0.1,0.011831284997255847,0.011536433388795495,0.01220630235868223,0.08337342739105225,0.018630706,0.018474694,0.018844556,0.06929863,6
hidden,0.25,0.01799040600586183,0.01759392088519198,0.018428597552019785,0.0591120719909668,0.029390277,0.02912576,0.029630197,0.1067623,6
hidden,0.5,0.021454407080186436,0.021033394745134187,0.021967035520042637,0.10446155071258545,0.04272337,0.04229551,0.04305968,0.1495712,6
hidden,0.75,0.026524344204773474,0.025941039720040072,0.02704756945941341,0.12086445093154907,0.054470297,0.053957067,0.054902032,0.18812217,6
hidden,0.9,0.0278818275627156,0.027382723595222563,0.028279519238928682,0.06683564186096191,0.06105156,0.060509086,0.061513864,0.21224765,6
nohidden,0.0,0.01039145436804724,0.010210879807381081,0.010609889440335283,0.08269176073372364,0.007511121,0.0074082883,0.0076432964,0.030451534,6
nohidden,0.1,0.011472502192498558,0.011261732919919627,0.011776165403275996,0.049370408058166504,0.017081466,0.01693308,0.017205337,0.06666889,6
nohidden,0.25,0.0190911904418737,0.018682060354644963,0.019520071170171363,0.05617000162601471,0.028490731,0.028228551,0.02878388,0.105379626,6
nohidden,0.5,0.017448786148234127,0.017068023106780204,0.017783160742125704,0.045558810234069824,0.039200857,0.038809836,0.039477766,0.13712536,6
nohidden,0.75,0.019985034397977625,0.019532068152172472,0.0203830946024861,0.05091613531112671,0.049678132,0.049198814,0.050080795,0.17079587,6
nohidden,0.9,0.024194110338077692,0.02372276363387514,0.024633586328300906,0.055346518754959106,0.05709266,0.056529544,0.057528388,0.19549376,6
hidden,0.0,0.007003914672918486,0.006800504064823929,0.007181291047636006,0.07681161165237427,0.006383397,0.006274124,0.0064810263,0.026273811,7
hidden,0.1,0.010265025405026206,0.010002774027783861,0.01051260825794048,0.056798383593559265,0.017738944,0.017579056,0.017883183,0.06977392,7
hidden,0.25,0.02465948746538961,0.024100749100307194,0.02519376426140263,0.12934091687202454,0.033075206,0.032782957,0.033368044,0.123180844,7
hidden,0.5,0.024949825381794393,0.024350134690264546,0.025603087692221797,0.08628684282302856,0.0486131,0.04819375,0.049076244,0.16735187,7
hidden,0.75,0.03460068967084838,0.03368182654381379,0.03553773716686126,0.14121711254119873,0.064722516,0.06413794,0.06531232,0.21763505,7
hidden,0.9,0.038634260649430464,0.037885315599694824,0.03935260391008827,0.09932053089141846,0.073058724,0.07260806,0.073535234,0.24882907,7
nohidden,0.0,0.006390358880677109,0.006214867659915493,0.006552253536687249,0.07637026906013489,0.0054554488,0.0053561833,0.005529044,0.023654364,7
nohidden,0.1,0.011387483498231994,0.011125995598710359,0.011629311956128485,0.0793287605047226,0.01780815,0.017637981,0.017969524,0.072042614,7
nohidden,0.25,0.02425839584119847,0.0236497815234087,0.024832244535729086,0.1375776082277298,0.032612007,0.032265346,0.03291383,0.1218535,7
nohidden,0.5,0.019312766888348792,0.018797040727040793,0.019971135965703248,0.031955182552337646,0.04445835,0.04416458,0.044795226,0.15276772,7
nohidden,0.75,0.022658102983209857,0.021997800386512303,0.023228137443364164,0.05136376619338989,0.05727401,0.05684561,0.057676308,0.19176388,7
nohidden,0.9,0.0297230165032249,0.028978868291606705,0.0303680849404245,0.07677441835403442,0.06642751,0.065977916,0.06682479,0.22132184,7
hidden,0.0,0.008577025961004067,0.008188776176369116,0.008926542316132059,0.07420128583908081,0.0064219916,0.0062064608,0.0066192443,0.02622372,8
hidden,0.1,0.008977556739975395,0.008541069946444942,0.009385411653205762,0.01218397170305252,0.01454572,0.014194873,0.014899473,0.056274842,8
hidden,0.25,0.015540141297489433,0.014626966374314725,0.016475956256192557,0.062098681926727295,0.02461385,0.023892935,0.025368344,0.09068871,8
hidden,0.5,0.01790210995946107,0.017000812077437522,0.019202805847696184,0.04141265153884888,0.035454847,0.0345665,0.036577497,0.12443096,8
hidden,0.75,0.023498882832385895,0.022331900634079856,0.024916101235357962,0.044943153858184814,0.046274193,0.04514079,0.047598314,0.1589159,8
hidden,0.9,0.028964351089536003,0.02737777442938318,0.03109438237949152,0.07952146232128143,0.05451099,0.053114995,0.056393072,0.18719529,8
nohidden,0.0,0.008022212131591662,0.007628823095588936,0.0083673170476178,0.0749974250793457,0.0059250845,0.00573257,0.006113724,0.024600388,8
nohidden,0.1,0.00975984379143929,0.009276151373666025,0.010236404296928065,0.021669115871191025,0.014734681,0.014348358,0.015138608,0.058000974,8
nohidden,0.25,0.01611281650997899,0.015135248764280414,0.017164044189113103,0.06415954232215881,0.02486872,0.02412779,0.02572243,0.09243643,8
nohidden,0.5,0.017719386939015733,0.016821980623479973,0.018933250574463743,0.043989866971969604,0.035151344,0.034265578,0.036261607,0.123499066,8
nohidden,0.75,0.022682885874185692,0.021525801953474127,0.02398784742763642,0.04033005237579346,0.04570293,0.044573735,0.047026906,0.15689538,8
nohidden,0.9,0.02828930853897783,0.026657622275534778,0.030193786153492084,0.07247374951839447,0.053821288,0.05244907,0.055668775,0.184036,8
hidden,0.0,0.009787179879177939,0.00939332119585389,0.010234951466295281,0.12752249836921692,0.007978846,0.007765383,0.008224506,0.03152167,9
hidden,0.1,0.012744842576281045,0.01218195721105699,0.013223025671428634,0.02534487098455429,0.019504795,0.01919502,0.019801077,0.07345217,9
hidden,0.25,0.024663862078301672,0.02398403411673449,0.025302613433042544,0.10179775953292847,0.034480598,0.034103733,0.034843452,0.12299871,9
hidden,0.5,0.0276568197866203,0.02692042795132201,0.028503788689780242,0.1638627052307129,0.049867094,0.049454425,0.050327506,0.16936047,9
hidden,0.75,0.03380459713365641,0.03293772790715275,0.03456223825130183,0.1662139892578125,0.06311797,0.06266483,0.06356734,0.21298373,9
hidden,0.9,0.03421261875019187,0.03355869334673928,0.03500898662341075,0.08016972243785858,0.070594735,0.07008985,0.07114809,0.24186969,9
nohidden,0.0,0.008960867897270791,0.00867405574453573,0.009261539257945933,0.11619266867637634,0.0063583017,0.006223237,0.0065069483,0.026670054,9
nohidden,0.1,0.012146177680349635,0.011730634751168707,0.012528152724833251,0.03545115888118744,0.018754577,0.018539447,0.018974006,0.07284635,9
nohidden,0.25,0.023456683489762334,0.022753688050985838,0.02403336244415047,0.07313056290149689,0.033241358,0.032905836,0.03358741,0.120368056,9
nohidden,0.5,0.018601775023802145,0.018042435533348136,0.019143172694556267,0.06658506393432617,0.043965407,0.04367985,0.044310566,0.14976852,9
nohidden,0.75,0.021160040749533905,0.020466142851412072,0.021749248281712524,0.06736952066421509,0.055361334,0.055011272,0.055746075,0.18613839,9
nohidden,0.9,0.025875037829948613,0.02525873732257392,0.02660481176496299,0.05586181581020355,0.064027496,0.06364516,0.06452765,0.21440665,9
hidden,0.0,0.01156417328025507,0.011254859766354179,0.011940103874091125,0.103511281311512,0.009613812,0.009427466,0.009819576,0.036447786,10
