COG_ID	input_prob	input_present	candidate	truth	known_fp	true_input	q_full_mean	q_full_sd	q_mask_neutral_mean	q_mask_neutral_sd	q_mask_absent_mean	q_mask_absent_sd	self_anchor_neutral	self_anchor_absent	residual_context	dropout_mean	dropout_consensus
COG4968	1	1	1	0	1	0	0.988655	0	0.956046	0	0.855911	0	0.0326086	0.132744	2.54901	0.719087	0.8125
COG4973	1	1	1	1	0	1	0.359601	0	0.225726	0	0.134147	0	0.133874	0.225454	-0.433717	0.0539107	0
COG4974	1	1	1	1	0	1	0.998401	0	0.997598	0	0.996587	0	0.000803411	0.00181383	3.01819	0.993832	1
COG4976	1	1	1	0	1	0	0.847355	0	0.520639	0	0.190005	0	0.326716	0.65735	-0.109918	0.430989	0.5
COG4986	1	1	1	0	1	0	0.909929	0	0.686432	0	0.377279	0	0.223498	0.53265	2.10625	0.422528	0.375
COG5000	1	1	1	0	1	0	0.999598	0	0.998508	0	0.994768	0	0.00108999	0.00483042	5.39191	0.884067	0.90625
COG5013	1	1	1	1	0	1	0.704623	0	0.416244	0	0.150974	0	0.288379	0.553648	0.192838	0.393218	0.40625
COG5094	1	1	1	1	0	1	0.0723645	0	0.0309374	0	0.0155568	0	0.0414271	0.0568077	-0.622712	0.0206411	0
COG5336	1	1	1	0	1	0	0.901539	0	0.643616	0	0.312957	0	0.257923	0.588581	0.518275	0.587288	0.59375
COG5341	1	1	1	0	1	0	0.0171577	0	0.00384971	0	0.000831097	0	0.013308	0.0163266	-5.57762	0.0313619	0
COG5352	1	1	1	0	1	0	0.0107489	0	0.00166902	0	0.000260979	0	0.0090799	0.0104879	-6.26184	0.00182521	0
COG5373	1	1	1	0	1	0	0.987801	0	0.945181	0	0.810513	0	0.0426204	0.177288	2.56922	0.64627	0.5625
COG5470	1	1	1	0	1	0	0.942419	0	0.791082	0	0.48764	0	0.151338	0.454779	1.03135	0.453119	0.46875
COG5471	1	1	1	1	0	1	0.0187372	0	0.00973165	0	0.00554407	0	0.00900552	0.0131931	-1.49877	0.00616958	0
COG5488	1	1	1	0	1	0	0.000403613	0	5.54323e-06	0	5.96046e-08	0	0.00039807	0.000403553	-11.8798	0.000127983	0
COG5495	1	1	1	0	1	0	0.687246	0	0.32147	0	0.109322	0	0.365776	0.577924	-0.657797	0.450428	0.4375
COG5499	1	1	1	1	0	1	0.195302	0	0.0615374	0	0.0157664	0	0.133765	0.179536	-1.86949	0.127759	0.03125
COG5506	1	1	1	0	1	0	0.00251603	0	0.000667602	0	0.000195503	0	0.00184843	0.00232053	-4.96523	0.00118468	0
COG5517	1	1	1	1	0	1	0.91722	0	0.720922	0	0.422588	0	0.196298	0.494632	1.39593	0.329212	0.25
COG5567	1	1	1	1	0	1	0.0208499	0	0.00563869	0	0.00214285	0	0.0152112	0.018707	-2.66224	0.00361956	0
COG5583	1	1	1	0	1	0	0.219788	0	0.105027	0	0.0510032	0	0.114761	0.168785	0.316205	0.0290382	0
COG5633	1	1	1	1	0	1	0.00504181	0	0.001986	0	0.000856131	0	0.00305581	0.00418568	-3.76847	0.00385726	0
