COG_ID	input_prob	mean_actual	sd_actual	mean_>0	sd_>0	mean_>0.01	sd_>0.01	mean_>0.04	sd_>0.04	mean_>0.099	sd_>0.099
COG3209	0.0000	0.2954	0.0577	0.2694	0.0559	0.2493	0.0498	0.2425	0.0708	0.1987	0.0435
COG3210	0.0000	0.1615	0.0389	0.1104	0.0289	0.1423	0.0264	0.1273	0.0276	0.1572	0.0328
COG3211	0.0000	0.0031	0.0014	0.0017	0.0009	0.0018	0.0006	0.0043	0.0008	0.0038	0.0010
COG3212	0.0000	0.0783	0.0396	0.0743	0.0502	0.0556	0.0207	0.0387	0.0112	0.0191	0.0106
COG3213	0.0000	0.0034	0.0023	0.0080	0.0064	0.0025	0.0016	0.0035	0.0029	0.0029	0.0012
COG3214	0.0000	0.0408	0.0181	0.0559	0.0308	0.0093	0.0050	0.0062	0.0041	0.0060	0.0027
COG3215	0.0000	0.0104	0.0077	0.0103	0.0065	0.0199	0.0079	0.0303	0.0150	0.0100	0.0055
COG3216	0.0000	0.2365	0.1238	0.2348	0.1323	0.2526	0.1150	0.2808	0.1338	0.2187	0.0892
COG3217	0.0000	0.0027	0.0018	0.0024	0.0016	0.0016	0.0010	0.0014	0.0006	0.0011	0.0005
COG3218	0.0000	0.0353	0.0205	0.0344	0.0188	0.0175	0.0105	0.0230	0.0143	0.0263	0.0190
COG3219	0.0000	0.0017	0.0009	0.0020	0.0009	0.0016	0.0008	0.0026	0.0013	0.0025	0.0007
COG3220	0.0000	0.0199	0.0080	0.0203	0.0071	0.0097	0.0034	0.0061	0.0021	0.0053	0.0019
COG3221	0.0000	0.5258	0.1635	0.6269	0.1634	0.1959	0.1043	0.1879	0.1008	0.0682	0.0427
COG3222	0.0100	0.2472	0.1029	0.3427	0.1702	0.0301	0.0126	0.0257	0.0127	0.0165	0.0082
COG3223	0.0000	0.0012	0.0027	0.0013	0.0027	0.0010	0.0018	0.0021	0.0033	0.0035	0.0067
COG3224	0.0000	0.0090	0.0046	0.0068	0.0030	0.0039	0.0025	0.0025	0.0012	0.0017	0.0006
COG3225	0.0300	0.6314	0.1949	0.8603	0.1078	0.8732	0.0752	0.5223	0.1757	0.4206	0.1800
COG3226	0.0000	0.0040	0.0050	0.0057	0.0073	0.0010	0.0012	0.0004	0.0005	0.0001	0.0001
COG3227	0.0000	0.0764	0.0355	0.0817	0.0368	0.0325	0.0128	0.0229	0.0090	0.0181	0.0075
COG3228	0.0000	0.0602	0.0392	0.0752	0.0570	0.0495	0.0341	0.0541	0.0383	0.0275	0.0167
COG3230	0.0000	0.0044	0.0023	0.0056	0.0033	0.0028	0.0015	0.0017	0.0008	0.0013	0.0005
COG3231	0.0000	0.0017	0.0014	0.0015	0.0010	0.0011	0.0009	0.0010	0.0011	0.0016	0.0010
COG3232	0.0000	0.0043	0.0019	0.0040	0.0015	0.0029	0.0012	0.0026	0.0011	0.0020	0.0009
COG3233	0.0000	0.0607	0.0257	0.0518	0.0240	0.0733	0.0350	0.0860	0.0351	0.0449	0.0163
COG3234	0.0100	0.2407	0.1481	0.4408	0.2299	0.0780	0.0442	0.0224	0.0155	0.0090	0.0050
COG3235	0.0000	0.0004	0.0002	0.0004	0.0002	0.0004	0.0003	0.0008	0.0005	0.0006	0.0003
