COG_ID	input_prob	raw_sum	n_subfam_pos	n_subfam_total	in_vocab
COG1815	0.01	0.01	1	1	1
COG1834	0.01	0.01	1	1	1
COG1856	0.01	0.01	1	1	1
COG1868	0.01	0.01	1	2	1
COG1877	0.01	0.01	1	2	1
COG1892	0.01	0.01	1	2	1
COG1906	0.01	0.01	1	3	1
COG1941	0.01	0.01	1	1	1
COG1954	0.01	0.01	1	1	1
COG1959	0.01	0.01	1	1	1
COG1960	0.01	0.01	1	3	1
COG1971	0.01	0.01	1	4	1
COG1972	0.01	0.01	1	1	1
COG1987	0.01	0.01	1	1	1
COG1993	0.01	0.01	1	2	1
COG2005	0.01	0.01	1	1	1
COG2025	0.01	0.01	1	3	1
COG2039	0.01	0.01	1	1	1
COG2069	0.01	0.01	1	1	1
COG2086	0.01	0.01	1	2	1
COG2088	0.01	0.01	1	2	1
COG2096	0.01	0.01	1	1	1
COG2177	0.01	0.01	1	4	1
COG2179	0.01	0.01	1	2	1
COG2180	0.01	0.01	1	1	1
COG2215	0.01	0.01	1	3	1
COG2222	0.01	0.01	1	1	1
COG2225	0.01	0.01	1	4	1
COG2230	0.01	0.01	1	2	1
COG2236	0.01	0.01	1	3	1
COG2254	0.01	0.01	1	2	1
COG2268	0.01	0.01	1	2	1
COG2301	0.01	0.01	1	6	1
COG2316	0.01	0.01	1	1	1
COG2352	0.01	0.01	1	4	1
COG2375	0.01	0.01	1	1	1
COG2379	0.01	0.01	1	1	1
COG2603	0.01	0.01	1	1	1
COG2805	0.01	0.01	1	2	1
COG2819	0.01	0.01	1	1	1
COG2864	0.01	0.01	1	2	1
COG2866	0.01	0.01	1	2	1
COG2893	0.01	0.01	1	1	1
COG2998	0.01	0.01	1	2	1
COG3018	0.01	0.01	1	2	1
COG3037	0.01	0.01	1	2	1
COG3049	0.01	0.01	1	1	1
COG3086	0.01	0.01	1	2	1
COG3123	0.01	0.01	1	1	1
COG3127	0.01	0.01	1	3	1
COG3132	0.01	0.01	1	1	1
COG3180	0.01	0.01	1	4	1
COG3222	0.01	0.01	1	1	1
COG3234	0.01	0.01	1	1	1
COG3252	0.01	0.01	1	1	1
COG3259	0.01	0.01	1	1	1
COG3281	0.01	0.01	1	1	1
COG3294	0.01	0.01	1	2	1
COG3301	0.01	0.01	1	1	1
COG3310	0.01	0.01	1	1	1
COG3361	0.01	0.01	1	3	1
COG3383	0.01	0.01	1	1	1
COG3395	0.01	0.01	1	2	1
COG3414	0.01	0.01	1	1	1
COG3435	0.01	0.01	1	3	1
COG3480	0.01	0.01	1	2	1
COG3535	0.01	0.01	1	2	1
COG3568	0.01	0.01	1	1	1
COG3643	0.01	0.01	1	1	1
COG3696	0.01	0.01	1	1	1
COG3714	0.01	0.01	1	1	1
COG3716	0.01	0.01	1	3	1
COG3754	0.01	0.01	1	2	1
COG3799	0.01	0.01	1	1	1
COG3845	0.01	0.01	1	2	1
COG3869	0.01	0.01	1	1	1
COG3882	0.01	0.01	1	3	1
COG3962	0.01	0.01	1	1	1
COG3963	0.01	0.01	1	1	1
COG3980	0.01	0.01	1	1	1
COG4113	0.01	0.01	1	2	1
COG4145	0.01	0.01	1	3	1
COG4149	0.01	0.01	1	2	1
COG4213	0.01	0.01	1	1	1
COG4261	0.01	0.01	1	3	1
COG4262	0.01	0.01	1	2	1
COG4277	0.01	0.01	1	2	1
COG4346	0.01	0.01	1	1	1
COG4452	0.01	0.01	1	1	1
COG4558	0.01	0.01	1	1	1
COG4564	0.01	0.01	1	1	1
COG4586	0.01	0.01	1	3	1
COG4692	0.01	0.01	1	1	1
COG4769	0.01	0.01	1	2	1
COG4784	0.01	0.01	1	1	1
COG4799	0.01	0.01	1	4	1
COG4822	0.01	0.01	1	2	1
COG4947	0.01	0.01	1	1	1
COG4986	0.01	0.01	1	1	1
COG5013	0.01	0.01	1	1	1
COG5014	0.01	0.01	1	1	1
COG5379	0.01	0.01	1	2	1
COG5485	0.01	0.01	1	1	1
COG5499	0.01	0.01	1	1	1
COG5621	0.01	0.01	1	2	1
