COG_ID	input_prob	mean_actual	sd_actual	mean_>0	sd_>0	mean_>0.01	sd_>0.01	mean_>0.04	sd_>0.04	mean_>0.099	sd_>0.099
COG1610	0.9998	0.6572	0.2628	0.6828	0.3017	0.6915	0.2409	0.5840	0.2530	0.6516	0.2141
COG1611	1.0000	0.6220	0.1979	0.5166	0.3145	0.7878	0.1500	0.7866	0.1832	0.8720	0.1263
COG1612	0.9915	0.0001	0.0002	0.0001	0.0002	0.0002	0.0003	0.0004	0.0005	0.0014	0.0024
COG1613	0.0000	0.0200	0.0433	0.0912	0.1082	0.0683	0.1040	0.0483	0.1018	0.0451	0.1023
COG1614	0.0698	0.9856	0.0140	0.9957	0.0025	0.9961	0.0027	0.9778	0.0238	0.7032	0.1523
COG1615	0.1382	0.9714	0.0400	0.9993	0.0009	0.9922	0.0195	0.9868	0.0328	0.9611	0.0741
COG1617	0.0000	0.0020	0.0010	0.0020	0.0013	0.0020	0.0022	0.0015	0.0012	0.0013	0.0008
COG1618	0.8531	0.9719	0.0276	0.9931	0.0057	0.9486	0.0438	0.9195	0.0688	0.9050	0.0802
COG1619	0.9362	0.1495	0.2997	0.4633	0.3046	0.3780	0.3001	0.1724	0.2925	0.1557	0.2915
COG1620	0.0133	0.1217	0.0681	0.7236	0.2131	0.5157	0.2349	0.0679	0.1025	0.0608	0.0751
COG1621	0.9304	0.5857	0.2946	0.9481	0.0696	0.7304	0.2984	0.6526	0.2865	0.4225	0.2743
COG1622	0.9994	0.0480	0.0600	0.0557	0.0641	0.1565	0.2082	0.0886	0.1210	0.1641	0.2101
COG1623	0.3595	0.8866	0.1711	0.9977	0.0037	0.9779	0.0361	0.9580	0.0395	0.9112	0.0681
COG1624	1.0000	0.9974	0.0055	0.9992	0.0026	0.9970	0.0079	0.9956	0.0121	0.9909	0.0212
COG1625	0.9818	0.9475	0.0863	0.9103	0.1444	0.9519	0.0504	0.9762	0.0261	0.9559	0.0427
COG1626	0.0198	0.1966	0.1628	0.7623	0.1383	0.6226	0.2311	0.1405	0.2063	0.0729	0.1351
COG1627	0.0000	0.0057	0.0033	0.0095	0.0041	0.0043	0.0025	0.0042	0.0028	0.0039	0.0026
COG1628	0.0000	0.0462	0.0200	0.1450	0.0708	0.0555	0.0294	0.0287	0.0136	0.0314	0.0156
COG1629	0.0000	0.4047	0.3768	0.8108	0.2189	0.5372	0.3470	0.3482	0.3635	0.3779	0.3647
COG1630	0.0041	0.6142	0.2807	0.9395	0.0506	0.4185	0.2548	0.2677	0.1908	0.1748	0.1467
COG1631	0.0000	0.0019	0.0015	0.0016	0.0014	0.0020	0.0028	0.0016	0.0021	0.0015	0.0016
COG1632	0.0000	0.0023	0.0020	0.0021	0.0017	0.0029	0.0044	0.0021	0.0030	0.0021	0.0026
COG1633	1.0000	0.9994	0.0011	1.0000	0.0000	0.9995	0.0009	0.9988	0.0019	0.9987	0.0021
COG1634	0.0000	0.0011	0.0008	0.0011	0.0007	0.0014	0.0017	0.0011	0.0013	0.0010	0.0009
COG1635	0.9209	0.8721	0.1699	0.7142	0.1819	0.8175	0.1937	0.8510	0.1532	0.8570	0.1601
COG1636	1.0000	0.7598	0.3046	0.0781	0.2277	0.5319	0.3297	0.7915	0.2849	0.8584	0.2728
COG1637	0.0062	0.2830	0.1723	0.6496	0.1796	0.1602	0.1040	0.1326	0.0885	0.1103	0.0930
COG1638	0.9993	0.9632	0.0346	0.9996	0.0006	0.9913	0.0107	0.9908	0.0079	0.9950	0.0042
COG1639	1.0000	0.9954	0.0082	0.9966	0.0053	0.9875	0.0249	0.9905	0.0174	0.9919	0.0134
COG1640	1.0000	0.5550	0.2908	0.6699	0.2296	0.6709	0.2353	0.6997	0.2349	0.7469	0.2483
COG1641	1.0000	0.9989	0.0025	0.9999	0.0001	0.9994	0.0015	0.9992	0.0019	0.9984	0.0040
COG1643	0.0119	0.0083	0.0211	0.1701	0.2512	0.0944	0.2506	0.0076	0.0173	0.0086	0.0194
COG1644	0.0000	0.0011	0.0014	0.0006	0.0007	0.0013	0.0025	0.0010	0.0017	0.0011	0.0016
COG1645	0.0000	0.0025	0.0048	0.0015	0.0018	0.0013	0.0024	0.0029	0.0056	0.0037	0.0078
COG1646	0.0000	0.1741	0.1684	0.4695	0.2700	0.1762	0.1469	0.0803	0.1113	0.0824	0.1151
COG1647	0.9989	0.5015	0.2075	0.8469	0.1582	0.6305	0.2165	0.6349	0.1995	0.6731	0.1904
COG1648	1.0000	0.9657	0.0505	0.9935	0.0099	0.9493	0.0823	0.9140	0.1277	0.8789	0.1746
COG1649	0.9999	0.8816	0.1720	0.9866	0.0384	0.9555	0.0805	0.9102	0.1382	0.9076	0.1247
COG1650	0.0000	0.0098	0.0104	0.0118	0.0115	0.0132	0.0182	0.0085	0.0109	0.0073	0.0084
COG1651	0.9993	0.0586	0.1210	0.0971	0.2352	0.0698	0.1747	0.0264	0.0531	0.0506	0.0973
COG1652	1.0000	0.7770	0.1356	0.8683	0.0971	0.8247	0.1168	0.8595	0.1046	0.8257	0.1224
COG1653	1.0000	0.9937	0.0102	1.0000	0.0000	0.9993	0.0017	0.9988	0.0021	0.9945	0.0079
COG1654	0.9998	0.0008	0.0008	0.0033	0.0034	0.0010	0.0010	0.0009	0.0009	0.0007	0.0007
COG1655	0.9672	0.9737	0.0426	0.9901	0.0131	0.9864	0.0173	0.9813	0.0237	0.9726	0.0379
COG1656	0.9995	0.9973	0.0030	0.9982	0.0020	0.9975	0.0027	0.9906	0.0119	0.9897	0.0140
COG1657	1.0000	0.9041	0.1567	0.9975	0.0055	0.9392	0.1301	0.9186	0.1466	0.8648	0.1913
COG1658	0.0011	0.0593	0.0999	0.1239	0.1823	0.0086	0.0151	0.0035	0.0056	0.0023	0.0031
COG1659	0.0042	0.8004	0.1589	0.9904	0.0152	0.7184	0.1772	0.4825	0.1767	0.3621	0.1430
COG1660	0.9999	0.9787	0.0532	0.9952	0.0100	0.9873	0.0267	0.9877	0.0327	0.9782	0.0530
COG1661	0.9980	0.8426	0.1268	0.8856	0.0952	0.9100	0.0844	0.8955	0.1148	0.8833	0.1315
COG1662	0.0000	0.0518	0.0560	0.1349	0.1103	0.0502	0.0532	0.0405	0.0385	0.0347	0.0328
COG1663	0.9991	0.3609	0.3572	0.3510	0.3383	0.2962	0.3535	0.2983	0.3114	0.4561	0.3082
COG1664	1.0000	0.9934	0.0111	0.9999	0.0001	0.9827	0.0247	0.9636	0.0310	0.9709	0.0224
COG1665	0.0000	0.0056	0.0036	0.0108	0.0066	0.0071	0.0052	0.0045	0.0033	0.0029	0.0019
COG1666	0.9998	0.3128	0.1701	0.2493	0.2646	0.4324	0.2677	0.4885	0.2693	0.4456	0.2628
COG1667	0.0000	0.0020	0.0014	0.0068	0.0053	0.0024	0.0019	0.0015	0.0012	0.0011	0.0009
COG1668	0.9827	0.4015	0.2546	0.6015	0.2868	0.2998	0.3127	0.3671	0.2814	0.3177	0.2767
COG1669	1.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000
COG1670	1.0000	0.6293	0.3163	0.8266	0.1980	0.7203	0.2970	0.7703	0.2574	0.7095	0.2665
COG1671	0.9431	0.8115	0.1273	0.9328	0.0752	0.8475	0.1418	0.7798	0.1605	0.7678	0.1346
COG1672	1.0000	0.9512	0.0429	0.9944	0.0093	0.9604	0.0467	0.9435	0.0566	0.9297	0.0658
