COG_ID	input_prob	input_present	candidate	q_full_mean	q_full_sd	q_mask_neutral_mean	q_mask_neutral_sd	q_mask_absent_mean	q_mask_absent_sd	self_anchor_neutral	self_anchor_absent	residual_context	dropout_mean	dropout_consensus	anchor_support
COG0130	1	1	1	0.997776	0.00256929	0.984017	0.0180422	0.951237	0.0539402	0.0137588	0.0465387	0.71457	0.995001	1	0.998719
COG0131	0.9992	1	1	0.996117	0.00776064	0.986011	0.029726	0.966632	0.0846209	0.0101061	0.0294847	2.49372	0.983665	1	0.816162
COG0132	0.998	1	1	0.357892	0.164081	0.155284	0.13662	0.0799185	0.103057	0.202608	0.277974	-1.78347	0.655844	0.684375	0.00893027
COG0133	1	1	1	0.997142	0.00619681	0.993362	0.0140187	0.985632	0.0363306	0.00378019	0.0115104	3.40921	0.995476	1	0.90127
COG0134	0.9992	1	1	0.998078	0.00330059	0.9885	0.023463	0.965413	0.0824441	0.00957859	0.0326656	2.71839	0.988693	1	0.796764
COG0135	0.9998	1	1	0.987282	0.0136791	0.963436	0.030078	0.962212	0.0301143	0.0238454	0.0250694	3.06997	0.982012	1	0.83295
COG0136	1	1	1	0.999616	0.000517985	0.998704	0.00244723	0.995643	0.0101848	0.000912488	0.00397319	3.82919	0.996081	1	0.983947
COG0137	0.9998	1	1	0.997148	0.00450504	0.988672	0.0208602	0.969143	0.0653523	0.00847656	0.0280054	2.31805	0.997454	1	0.688736
COG0138	1	1	1	0.999714	0.0002811	0.998933	0.00116054	0.997683	0.00299175	0.000781238	0.00203109	4.64824	0.997854	1	0.987365
COG0139	0.9992	1	1	0.996524	0.00648186	0.989907	0.0178812	0.981687	0.0384244	0.00661761	0.0148368	3.26107	0.985572	0.996875	0.8125
COG0140	0.9992	1	1	0.021523	0.0610944	0.0046326	0.0131606	0.000889361	0.00247323	0.0168904	0.0206336	-6.486	0.136701	0.078125	0.00286236
COG0141	0.9992	1	1	0.998011	0.00401738	0.994738	0.00996566	0.990133	0.0217589	0.00327295	0.00787753	3.65015	0.993606	1	0.864993
COG0142	1	1	1	0.999888	0.000160385	0.99947	0.000835186	0.998692	0.00253114	0.00041765	0.00119573	4.60831	0.999778	1	0.995942
COG0143	1	1	1	0.746836	0.236845	0.482755	0.244781	0.289716	0.18756	0.264081	0.45712	-1.26716	0.62148	0.634375	0.191173
COG0144	1	1	1	0.596525	0.242563	0.471235	0.211297	0.289675	0.152061	0.12529	0.30685	-2.13699	0.958897	0.996875	0.0341974
COG0145	0.9998	1	1	0.971075	0.0294767	0.952024	0.0398586	0.926136	0.0706147	0.0190511	0.0449387	3.13793	0.970986	1	0.0131415
COG0146	0.9908	1	1	0.682568	0.182627	0.437665	0.198146	0.22653	0.141195	0.244904	0.456038	0.133084	0.470829	0.446875	0.00187421
COG0147	1	1	1	0.998238	0.00434188	0.995319	0.0101955	0.985786	0.038281	0.00291884	0.0124521	3.4814	0.99839	1	0.840164
COG0148	1	1	1	0.999971	2.31554e-05	0.999838	0.000159388	0.999482	0.000623777	0.000133336	0.000489354	5.64306	0.999407	1	0.994973
COG0149	1	1	1	0.985582	0.0227877	0.954526	0.0573	0.887283	0.145514	0.0310557	0.0982988	-0.321829	0.992011	1	0.987601
COG0150	0.9998	1	1	0.997396	0.00400854	0.992591	0.0131134	0.98051	0.0404549	0.00480509	0.0168859	2.55877	0.992869	1	0.949234
