COG_ID	input_prob	input_present	candidate	truth	known_fp	true_input	q_full_mean	q_full_sd	q_mask_neutral_mean	q_mask_neutral_sd	q_mask_absent_mean	q_mask_absent_sd	self_anchor_neutral	self_anchor_absent	residual_context	dropout_mean	dropout_consensus
COG1918	1	1	1	1	0	1	0.898402	0	0.687835	0	0.372949	0	0.210567	0.525453	-0.269759	0.681767	0.6875
COG1920	1	1	1	1	0	1	0.92218	0	0.784208	0	0.505112	0	0.137972	0.417068	1.8402	0.460365	0.40625
COG1932	1	1	1	0	1	0	0.922827	0	0.821118	0	0.660993	0	0.101709	0.261834	0.145292	0.620865	0.6875
COG1937	1	1	1	0	1	0	0.990541	0	0.959793	0	0.828587	0	0.0307487	0.161954	1.68743	0.718761	0.8125
COG1947	1	1	1	0	1	0	0.993677	0	0.974173	0	0.889328	0	0.0195039	0.104349	0.86552	0.687176	0.75
COG1950	1	1	1	0	1	0	0.967662	0	0.879243	0	0.669759	0	0.0884187	0.297903	1.51702	0.639573	0.65625
COG1960	1	1	1	0	1	0	0.998069	0	0.993004	0	0.979381	0	0.00506496	0.0186874	3.24082	0.916251	0.9375
COG1962	1	1	1	1	0	1	0.0380058	0	0.00964007	0	0.00251561	0	0.0283658	0.0354902	-1.59973	0.0777428	0.03125
COG1965	1	1	1	0	1	0	0.0132796	0	0.0050866	0	0.00205544	0	0.00819299	0.0112242	-4.10716	0.00594221	0
COG1971	1	1	1	0	1	0	0.819182	0	0.497195	0	0.186936	0	0.321987	0.632246	-0.676252	0.430186	0.40625
COG1988	1	1	1	1	0	1	0.816883	0	0.536623	0	0.239309	0	0.280259	0.577573	-0.0675877	0.473126	0.5
COG2001	1	1	1	0	1	0	0.996684	0	0.987709	0	0.957412	0	0.00897473	0.0392717	1.868	0.764101	0.8125
COG2033	1	1	1	1	0	1	0.200648	0	0.0595487	0	0.0135252	0	0.1411	0.187123	-2.93134	0.346789	0.3125
COG2038	1	1	1	1	0	1	0.98456	0	0.947628	0	0.859903	0	0.0369321	0.124657	2.418	0.741386	0.84375
COG2071	1	1	1	0	1	0	0.983588	0	0.937571	0	0.797064	0	0.0460167	0.186524	1.56853	0.705651	0.84375
COG2084	1	1	1	0	1	0	0.993761	0	0.973772	0	0.898621	0	0.0199887	0.0951396	1.96699	0.769522	0.84375
COG2094	1	1	1	0	1	0	0.969713	0	0.8718	0	0.577315	0	0.0979133	0.392399	1.14152	0.647963	0.6875
COG2098	1	1	1	1	0	1	0.00228885	0	0.000450462	0	8.96752e-05	0	0.00183839	0.00219917	-4.11642	0.0648468	0.0625
COG2099	1	1	1	1	0	1	0.900428	0	0.765165	0	0.555536	0	0.135262	0.344891	1.60925	0.364462	0.375
COG2118	1	1	1	1	0	1	0.00271428	0	0.000852883	0	0.000254482	0	0.00186139	0.00245979	-4.63266	0.138992	0.125
COG2152	1	1	1	0	1	0	0.622766	0	0.259092	0	0.0783632	0	0.363674	0.544403	-1.00155	0.433862	0.5625
COG2161	1	1	1	0	1	0	0.92243	0	0.743775	0	0.441066	0	0.178655	0.481364	0.206388	0.528545	0.46875
COG2170	1	1	1	0	1	0	0.638152	0	0.355358	0	0.145763	0	0.282794	0.492389	-0.500878	0.419515	0.40625
COG2185	1	1	1	0	1	0	0.929419	0	0.783212	0	0.526688	0	0.146207	0.402731	1.23693	0.659979	0.71875
COG2189	1	1	1	0	1	0	0.871165	0	0.652227	0	0.350145	0	0.218938	0.52102	-0.398918	0.591655	0.53125
COG2207	1	1	1	0	1	0	0.964291	0	0.853499	0	0.564649	0	0.110792	0.399642	-0.39095	0.704545	0.71875
COG2218	1	1	1	1	0	1	0.411687	0	0.160143	0	0.0422073	0	0.251544	0.36948	-0.854696	0.216763	0.15625
COG2245	1	1	1	1	0	1	0.00387108	0	0.00099054	0	0.000276089	0	0.00288054	0.00359499	-3.17172	0.0127211	0
COG2317	1	1	1	0	1	0	0.946201	0	0.782089	0	0.409795	0	0.164112	0.536406	0.770657	0.628449	0.59375
COG2350	1	1	1	0	1	0	0.847781	0	0.558716	0	0.248806	0	0.289065	0.598975	-0.417575	0.524069	0.625
COG2355	1	1	1	0	1	0	0.970372	0	0.877532	0	0.671407	0	0.0928398	0.298966	0.920402	0.677222	0.78125
COG2365	1	1	1	0	1	0	0.787852	0	0.461545	0	0.18408	0	0.326307	0.603772	-0.621111	0.308389	0.28125
COG2376	1	1	1	0	1	0	0.655031	0	0.394389	0	0.212905	0	0.260642	0.442127	0.150249	0.298835	0.1875
