family,fn,fp,MCC_mean,MCC_std,ece_mean,ece_std,n
nohidden_HO_T20_bacFTfpreal,0.9,0.1,0.2143,0.0887,0.1845,0.0511,10
nohidden_HO_T20_bacFTfpreal,0.9,0.2,0.0185,0.0623,0.2295,0.0387,10
nohidden_HO_T20_bacFTfprealhq,0.0,0.01,0.3684,0.2885,0.2228,0.1075,10
nohidden_HO_T20_bacFTfprealhq,0.0,0.025,0.3971,0.2677,0.2157,0.1038,10
nohidden_HO_T20_bacFTfprealhq,0.0,0.05,0.4437,0.2352,0.2077,0.0986,10
nohidden_HO_T20_bacFTfprealhq,0.0,0.1,0.5053,0.1921,0.2149,0.0853,10
nohidden_HO_T20_bacFTfprealhq,0.0,0.2,0.5252,0.1472,0.2491,0.0807,10
nohidden_HO_T20_bacFTfprealhq,0.1,0.01,0.4361,0.2234,0.193,0.098,10
nohidden_HO_T20_bacFTfprealhq,0.1,0.025,0.4791,0.2053,0.1868,0.0954,10
nohidden_HO_T20_bacFTfprealhq,0.1,0.05,0.5154,0.1855,0.1905,0.0883,10
nohidden_HO_T20_bacFTfprealhq,0.1,0.1,0.538,0.1537,0.2034,0.0822,10
nohidden_HO_T20_bacFTfprealhq,0.1,0.2,0.5323,0.1272,0.2306,0.0796,10
nohidden_HO_T20_bacFTfprealhq,0.2,0.01,0.514,0.1894,0.1704,0.0921,10
nohidden_HO_T20_bacFTfprealhq,0.2,0.025,0.5292,0.1787,0.1734,0.0881,10
nohidden_HO_T20_bacFTfprealhq,0.2,0.05,0.5396,0.1635,0.1786,0.0842,10
nohidden_HO_T20_bacFTfprealhq,0.2,0.1,0.5426,0.1406,0.1894,0.0803,10
nohidden_HO_T20_bacFTfprealhq,0.2,0.2,0.5343,0.1107,0.2119,0.0777,10
nohidden_HO_T20_bacFTfprealhq,0.3,0.01,0.5282,0.1792,0.1599,0.0886,10
nohidden_HO_T20_bacFTfprealhq,0.3,0.025,0.5343,0.1707,0.1622,0.0857,10
nohidden_HO_T20_bacFTfprealhq,0.3,0.05,0.5391,0.1577,0.1663,0.0821,10
nohidden_HO_T20_bacFTfprealhq,0.3,0.1,0.54,0.1339,0.1755,0.0767,10
nohidden_HO_T20_bacFTfprealhq,0.3,0.2,0.5321,0.0975,0.1932,0.073,10
nohidden_HO_T20_bacFTfprealhq,0.4,0.01,0.5266,0.1745,0.1493,0.087,10
nohidden_HO_T20_bacFTfprealhq,0.4,0.025,0.5313,0.1671,0.1512,0.0841,10
nohidden_HO_T20_bacFTfprealhq,0.4,0.05,0.5348,0.1553,0.1549,0.0798,10
nohidden_HO_T20_bacFTfprealhq,0.4,0.1,0.5339,0.1322,0.1631,0.0725,10
nohidden_HO_T20_bacFTfprealhq,0.4,0.2,0.5245,0.0913,0.1742,0.0646,10
nohidden_HO_T20_bacFTfprealhq,0.5,0.01,0.5241,0.17,0.1399,0.0853,10
nohidden_HO_T20_bacFTfprealhq,0.5,0.025,0.5278,0.1639,0.1416,0.0823,10
nohidden_HO_T20_bacFTfprealhq,0.5,0.05,0.5294,0.1536,0.1453,0.0773,10
nohidden_HO_T20_bacFTfprealhq,0.5,0.1,0.5243,0.1335,0.152,0.0682,10
nohidden_HO_T20_bacFTfprealhq,0.5,0.2,0.5079,0.098,0.1535,0.0548,10
nohidden_HO_T20_bacFTfprealhq,0.6,0.01,0.5216,0.1644,0.1326,0.0828,10
nohidden_HO_T20_bacFTfprealhq,0.6,0.025,0.5233,0.1595,0.1344,0.0797,10
nohidden_HO_T20_bacFTfprealhq,0.6,0.05,0.5216,0.1511,0.1381,0.0741,10
nohidden_HO_T20_bacFTfprealhq,0.6,0.1,0.5093,0.1358,0.1428,0.0642,10
nohidden_HO_T20_bacFTfprealhq,0.6,0.2,0.4615,0.1149,0.1347,0.0457,10
nohidden_HO_T20_bacFTfprealhq,0.7,0.01,0.516,0.1584,0.1282,0.0793,10
nohidden_HO_T20_bacFTfprealhq,0.7,0.025,0.5154,0.1543,0.1301,0.076,10
nohidden_HO_T20_bacFTfprealhq,0.7,0.05,0.508,0.1473,0.1342,0.0705,10
nohidden_HO_T20_bacFTfprealhq,0.7,0.1,0.4823,0.1365,0.1353,0.0611,10
nohidden_HO_T20_bacFTfprealhq,0.7,0.2,0.2988,0.0999,0.1589,0.0441,10
nohidden_HO_T20_bacFTfprealhq,0.8,0.01,0.5044,0.1536,0.1263,0.0757,10
nohidden_HO_T20_bacFTfprealhq,0.8,0.025,0.4986,0.1492,0.129,0.0722,10
nohidden_HO_T20_bacFTfprealhq,0.8,0.05,0.4809,0.1415,0.133,0.0668,10
nohidden_HO_T20_bacFTfprealhq,0.8,0.1,0.4167,0.1254,0.1368,0.0559,10
nohidden_HO_T20_bacFTfprealhq,0.8,0.2,0.1018,0.0786,0.2082,0.0435,10
nohidden_HO_T20_bacFTfprealhq,0.9,0.01,0.4651,0.1482,0.1268,0.0718,10
nohidden_HO_T20_bacFTfprealhq,0.9,0.025,0.4438,0.139,0.1322,0.0673,10
nohidden_HO_T20_bacFTfprealhq,0.9,0.05,0.3985,0.1239,0.1421,0.0599,10
nohidden_HO_T20_bacFTfprealhq,0.9,0.1,0.2317,0.0906,0.1808,0.0506,10
nohidden_HO_T20_bacFTfprealhq,0.9,0.2,0.0188,0.0634,0.2294,0.0388,10
nohidden_HO_T20_mixFTfpmarginalhq,0.0,0.01,0.3543,0.2989,0.2337,0.1232,10
