COG	Node_GCA-000006805.1_AP024487.1_0
COG0704	1
COG0705	0.7624
COG0707	0.27
COG0708	0.1072
COG0710	0.53
COG0713	0.34
COG0714	0.939575
COG0715	1
COG0716	0.17
COG0717	0.87
COG0719	0.9343
COG0720	0.97
COG0723	0.04
COG0724	0.03
COG0725	0.8
COG0726	0.982926
COG0727	0.915076
COG0730	0.935516
COG0731	0.981772
COG0732	0.4582
COG0733	0.24
COG0735	0.03
COG0736	0.1
COG0737	0.04
COG0739	0.02
COG0742	0.4
COG0745	0.17
COG0746	0.94
COG0747	0.865
COG0750	1
COG0753	0.1
COG0755	0.52
COG0760	0.05
COG0765	0.93
COG0769	0.28
COG0770	0.01
COG0776	0.14
COG0778	0.88828
COG0780	0.14
COG0784	0.901626
COG0785	0.76292
COG0787	0.58
COG0788	0.06
COG0794	0.94
COG0798	0.82
COG0801	0.05
COG0805	0.45
COG0807	0.28
COG0814	0.07
COG0818	0.04
COG0819	0.03
COG0822	0.69
COG0823	0.0595
COG0824	0.17
COG0826	0.19003
COG0827	0.29
COG0829	0.01
COG0831	0.01
COG0834	0.96
COG0835	0.04
COG0836	0.28
COG0838	0.86
COG0839	0.4852
COG0840	0.180577
COG0842	0.986009
COG0843	0.0397
COG0846	0.25
COG0847	0.03
COG0852	0.53
COG0853	0.06
COG0856	0.73
COG0857	0.34
COG0859	0.02
COG0861	0.02
COG0863	0.88495
COG0864	0.02
COG1001	0.75
COG1002	0.603946
COG1003	0.92
COG1004	0.57
COG1005	0.72
COG1006	0.24
COG1007	0.41
COG1008	0.02
COG1009	0.03
COG1010	0.81
COG1011	1
COG1012	0.5071
COG1013	0.55
COG1014	0.941788
COG1018	0.04
COG1019	0.87
COG1022	0.3
COG1023	0.01
COG1024	0.433364
COG1027	0.02
COG1028	0.46736
COG1029	0.01
COG1030	0.9
COG1031	0.5
COG1032	0.994761
COG1033	0.9
COG1035	0.969048
COG1036	0.16
COG1041	0.99
COG1042	0.9898
COG1047	1
COG1048	0.84
COG1051	0.13
COG1052	0.11
COG1053	0.9436
COG1055	0.44
COG1056	0.86
COG1058	0.73
COG1059	0.76
COG1060	0.58
COG1061	0.784856
COG1062	0.02
COG1063	0.14
COG1064	0.08
COG1067	1
COG1070	0.6733
COG1071	0.88
COG1073	0.271097
COG1074	0.21
COG1077	0.37
COG1078	0.91
COG1079	0.8
COG1080	0.01
COG1082	0.943546
COG1083	0.26
COG1084	0.98
COG1085	0.4178
COG1086	0.15
COG1088	0.3
COG1089	0.3
COG1091	0.13
COG1092	0.73
COG1093	0.98
COG1094	0.98
COG1095	1
COG1096	0.95
COG1097	1
COG1099	0.71
COG1100	1
COG1102	0.99
COG1103	0.71
COG1104	0.85
COG1106	0.7327
COG1107	0.17
COG1108	0.98
COG1109	0.886
COG1110	0.68
COG1111	1
COG1112	0.069
COG1115	0.05
COG1116	0.99
COG1117	0.96
COG1120	0.9622
COG1121	0.4395
COG1122	0.9882
COG1123	1
COG1126	0.87
COG1131	0.992337
COG1132	0.29
COG1134	0.24
COG1136	0.49
COG1138	0.7354
COG1139	0.7072
COG1140	0.21
COG1141	0.29
COG1142	0.6976
COG1143	0.91
COG1144	0.982
COG1145	0.999998
COG1146	0.542094
COG1148	0.80155
COG1149	0.96
COG1150	0.8778
COG1151	0.96
COG1152	0.2605
COG1153	0.98
COG1155	0.99
COG1156	0.99
COG1161	0.51
COG1162	0.03
COG1163	0.05
COG1164	0.01
COG1166	0.01
COG1167	0.97
COG1171	0.46
COG1172	0.15
COG1173	0.6105
COG1174	0.109
COG1175	0.24
COG1177	0.04
COG1178	0.55
COG1180	1
COG1183	0.91
COG1184	0.8761
COG1189	0.86
COG1190	0.04
COG1192	0.0496
COG1193	0.38
COG1194	0.45
COG1195	0.02
COG1196	1
COG1199	0.99
COG1201	0.96
COG1202	0.09
COG1203	0.95958
COG1204	0.98
COG1205	0.03
COG1208	0.998957
COG1209	0.6256
COG1210	0.66
COG1211	0.05
COG1213	0.83
COG1215	0.998616
COG1216	0.4
COG1222	0.95
COG1223	0.05
COG1224	0.97
COG1225	0.353134
COG1226	0.172807
COG1227	0.13
COG1228	0.1
COG1229	0.79
COG1230	0.13
COG1232	0.14
COG1233	0.6024
COG1234	1
COG1235	0.5842
COG1236	0.9904
COG1237	0.71
COG1238	0.7255
COG1239	0.09
COG1240	0.01
COG1241	1
COG1242	0.07
COG1243	1
COG1244	0.01
COG1245	1
COG1247	0.25
COG1249	0.23
COG1250	0.8824
COG1252	0.19
COG1253	0.27
COG1254	0.9918
COG1255	0.01
COG1257	0.991
COG1258	0.47
COG1260	0.94
COG1262	0.02
COG1266	1
COG1267	0.85
COG1268	0.27
COG1269	0.01
COG1270	0.11
COG1271	0.2356
COG1273	0.15
COG1274	0.2
COG1275	0.14
COG1277	0.920418
COG1278	0.43
COG1280	0.0298
COG1282	0.49
COG1283	0.15
COG1287	0.918513
COG1290	0.24
COG1292	0.02
COG1293	1
COG1296	0.06
COG1297	0.73
COG1300	0.61829
COG1301	0.11
COG1303	0.54
COG1304	1
COG1305	0.461521
COG1308	0.99
COG1309	0.562491
COG1310	0.805
COG1311	1
COG1312	0.03
COG1313	0.86
COG1318	0.3211
COG1319	0.43
COG1320	0.7368
COG1321	0.3763
COG1323	0.02
COG1324	0.68
COG1325	0.87
COG1326	0.7921
COG1328	0.992
COG1331	0.62
COG1332	0.2337
COG1335	0.55
COG1336	0.45
COG1337	0.84952
COG1339	0.72
COG1340	0.9804
COG1341	0.59
COG1342	0.8765
COG1343	0.89
COG1346	0.02
COG1350	0.06
COG1351	0.8026
COG1352	0.81
COG1353	0.8448
COG1354	0.99
COG1355	0.96
COG1356	0.74
COG1357	0.088012
COG1358	1
COG1359	0.1866
COG1361	0.980837
COG1363	0.9127
COG1364	0.08
COG1365	0.07
COG1366	0.03
COG1367	0.2971
COG1370	0.57
COG1371	0.08
COG1372	0.824634
COG1373	0.79
COG1374	0.95
COG1378	0.3016
COG1379	0.91
COG1380	0.02
COG1382	0.94
COG1383	1
COG1384	0.95
COG1386	1
COG1387	0.12
COG1389	0.71
COG1390	0.95
COG1392	0.99
COG1394	0.79
COG1395	0.78
COG1396	0.01
COG1397	0.01
COG1400	1
COG1401	0.87
COG1402	0.18
COG1403	0.813
COG1404	0.968448
COG1405	0.89
COG1407	0.96
COG1408	0.29
COG1409	0.960148
COG1411	0.84
COG1412	0.99
COG1413	0.647582
COG1414	0.02
COG1415	0.42
COG1416	0.03
COG1417	0.27
COG1418	0.927829
COG1421	0.14
COG1422	0.92
COG1423	0.93
COG1424	0.01
COG1427	0.05
COG1429	0.04
COG1430	0.0892
COG1431	0.3136
COG1432	0.44
COG1433	0.833779
COG1434	0.05
COG1436	1
COG1437	0.68
COG1439	1
COG1443	0.03
COG1444	0.03
COG1446	0.91
COG1449	0.79757
COG1451	0.24
COG1453	0.24
COG1454	0.28
COG1456	0.772
COG1457	0.87
COG1458	0.29
COG1460	0.3
COG1465	0.98
COG1467	0.29
COG1468	0.977227
COG1469	0.96
COG1470	0.9012
COG1471	0.37
COG1472	0.01
COG1474	0.993
COG1475	0.979648
COG1476	0.75
COG1477	0.17
COG1478	1
COG1483	0.28
COG1484	0.08
COG1486	0.21
COG1487	0.997813
COG1488	0.7452
COG1489	0.23
COG1491	0.93
COG1492	0.2872
COG1493	0.33
COG1494	0.03
COG1495	0.02
COG1497	0.854888
COG1498	0.98
COG1499	0.98
COG1500	0.58
COG1501	0.25
COG1502	0.903
COG1503	0.98
COG1504	0.81
COG1505	0.11
COG1506	0.4753
COG1509	0.24
COG1510	1
COG1514	0.98
COG1515	1
COG1517	0.848328
COG1518	0.05
COG1520	0.039502
COG1522	1
COG1524	0.1367
COG1526	0.93
COG1527	0.2
COG1528	0.15
COG1529	0.73
COG1530	0.43
COG1531	0.24
COG1532	0.45
COG1533	0.886
COG1534	0.71
COG1537	0.65
COG1540	0.05
COG1541	0.16043
COG1542	0.01
COG1543	0.02
COG1545	1
COG1546	0.01
COG1547	0.109
COG1548	0.28
COG1549	0.9907
COG1552	0.27
COG1553	0.84
COG1554	0.01
COG1556	0.01
COG1563	0.7723
COG1567	0.16
COG1568	0.41
COG1569	0.8047
COG1570	0.03
COG1571	0.848
COG1572	0.7508
COG1573	0.97
COG1574	0.7
COG1575	0.05
COG1576	0.21
COG1577	0.84
COG1581	0.67
COG1583	0.95
COG1584	0.08
COG1585	0.02
COG1586	0.45
COG1587	0.09
COG1588	0.3
COG1590	0.72
COG1591	0.9532
