COG	LBCA_alt
COG1141	0.999887
COG1142	0.960053
COG1143	0.999904
COG1144	0.999270
COG1146	0.847337
COG1149	0.999925
COG1150	0.979187
COG1151	0.999864
COG1154	0.999885
COG1155	0.999890
COG1156	0.999889
COG1157	0.999885
COG1158	0.999932
COG1159	0.999679
COG1160	0.999900
COG1161	0.702522
COG1162	0.999894
COG1164	0.999914
COG1167	0.906927
COG1171	0.992766
COG1173	1.000000
COG1175	1.000000
COG1178	0.973005
COG1180	1.000000
COG1181	1.000000
COG1183	0.991250
COG1185	0.999899
COG1186	0.999899
COG1187	0.999885
COG1188	0.989253
COG1189	0.999899
COG1190	0.999899
COG1191	0.999939
COG1192	0.999999
COG1193	0.999892
COG1194	0.998296
COG1195	0.999898
COG1196	0.999898
COG1197	0.999899
COG1198	0.999899
COG1199	0.999898
COG1200	0.999898
COG1203	0.999866
COG1205	0.997829
COG1206	0.999770
COG1207	0.999802
COG1208	0.999733
COG1209	0.999879
COG1210	0.994486
COG1211	0.999885
COG1212	0.994765
COG1214	0.999899
COG1215	1.000000
COG1216	0.999725
COG1217	0.999896
COG1219	0.999922
COG1220	0.999869
COG1226	0.898197
COG1228	0.991514
COG1230	0.999559
COG1232	0.987504
COG1234	0.999897
COG1235	0.999899
COG1236	0.999876
COG1237	0.999850
COG1238	0.988038
COG1242	0.958014
COG1246	0.998582
COG1249	1.000000
COG1250	0.999678
COG1251	0.665760
COG1252	0.997919
COG1253	1.000000
COG1254	0.999885
COG1256	0.999885
COG1259	0.998551
COG1260	0.845068
COG1261	0.999867
COG1262	0.998779
COG1267	0.997736
COG1268	0.988516
COG1269	0.999891
COG1270	0.995772
COG1271	0.997430
COG1272	0.991598
COG1274	0.937277
COG1278	1.000000
COG1281	0.860109
COG1282	0.867781
COG1283	0.999892
COG1285	0.998477
COG1286	0.998636
COG1290	0.522779
COG1291	0.999885
COG1294	0.952321
COG1295	0.999852
COG1298	0.999876
COG1301	0.999557
COG1305	0.999992
COG1309	0.999997
COG1310	0.999530
COG1313	0.999527
COG1314	0.999894
COG1315	0.999954
COG1317	0.999885
COG1319	0.999707
COG1320	0.999344
COG1321	0.999889
COG1322	0.999386
COG1324	0.999540
COG1327	0.999859
COG1328	0.999880
COG1329	0.999724
COG1331	0.999485
COG1333	0.991385
COG1334	0.999002
COG1335	0.999875
COG1338	0.999885
COG1342	0.997606
COG1343	0.999767
COG1344	1.000000
COG1345	0.999885
COG1350	0.998251
COG1351	0.999885
COG1352	0.999999
COG1354	0.999898
COG1355	0.999977
COG1360	0.999986
COG1364	0.998549
COG1366	1.000000
COG1373	1.000000
COG1377	0.999873
COG1381	0.999864
COG1385	0.999899
COG1386	0.999898
COG1387	0.999749
COG1390	0.999845
COG1391	0.754569
COG1392	0.999523
COG1394	0.999889
COG1396	0.999834
COG1397	0.999677
COG1399	0.998452
COG1402	0.999115
COG1403	0.999520
COG1406	0.999586
COG1408	0.999878
COG1410	0.999885
COG1418	0.999899
COG1419	0.999875
COG1420	0.999823
COG1426	0.998549
COG1427	0.999373
COG1430	0.999873
COG1436	0.966947
COG1449	0.997988
COG1450	0.879921
COG1451	0.999894
COG1453	0.999867
COG1454	0.998503
COG1456	0.946341
COG1459	1.000000
COG1461	0.753248
COG1468	0.999282
COG1469	0.874458
COG1472	0.999900
COG1473	0.999816
COG1476	0.999118
COG1477	0.999885
COG1480	0.999899
COG1481	0.713101
COG1482	0.999747
COG1484	0.998676
COG1486	0.751318
COG1487	0.999983
COG1488	0.998548
COG1490	0.999898
COG1492	0.991085
COG1493	0.986193
COG1494	0.939641
COG1496	0.999899
COG1502	0.999873
COG1506	0.964761
COG1507	0.656028
COG1508	0.999885
COG1509	0.999798
COG1512	0.999465
COG1515	0.990119
COG1516	0.999887
COG1518	0.999913
COG1519	0.996308
COG1521	0.999873
COG1522	0.998262
COG1523	0.965318
COG1526	0.979189
COG1527	0.999011
COG1528	0.999705
COG1529	0.999898
COG1530	0.992068
COG1533	0.999885
COG1536	0.999888
COG1539	0.998497
COG1541	1.000000
COG1543	0.999899
COG1544	0.999899
COG1546	0.999559
COG1550	0.999552
COG1551	0.999884
COG1553	0.876116
COG1555	0.999900
COG1558	0.999885
COG1559	0.999885
COG1560	0.999998
COG1564	0.752479
COG1569	0.998509
COG1570	0.999899
COG1573	1.000000
COG1574	0.988123
COG1575	0.955008
COG1576	0.996081
COG1578	0.998587
COG1579	0.999853
COG1580	0.998297
COG1582	0.999880
COG1585	0.826946
COG1587	0.999873
COG1592	0.999894
COG1593	0.995476
COG1597	0.999967
COG1598	1.000000
COG1600	0.999550
COG1605	0.997713
COG1606	0.999876
COG1609	0.978237
COG1610	0.999242
COG1611	0.999909
COG1612	0.723756
COG1619	0.721010
COG1622	0.998514
COG1624	0.999885
