COG_ID	category	name	combined_input	combined_out_post	combined_present	euryroot_ml_input	euryroot_ml_out_post	euryroot_ml_present	euryroot_unif_input	euryroot_unif_out_post	euryroot_unif_present	gld_min1_input	gld_min1_out_post	gld_min1_present	gld_min4_input	gld_min4_out_post	gld_min4_present
COG0013	J	Alanyl-tRNA synthetase	0.2850	0.9971	1	0.9800	0.9999	1	0.4600	0.9971	1	1.0000	1.0000	1	0.9999	1.0000	1
COG0014	E	Gamma-glutamyl phosphate reductase	0.0000	0.1921	0	0.1200	0.0258	0	0.0000	0.1572	0	0.9438	0.1248	0	0.0438	0.0146	0
COG0015	F	Adenylosuccinate lyase	0.0050	0.9941	1	0.4700	0.9741	1	0.0000	0.9813	1	1.0000	0.9988	1	0.9999	0.9976	1
COG0016	J	Phenylalanyl-tRNA synthetase alpha subunit	0.0250	0.9928	1	0.9900	0.9998	1	0.5800	0.9943	1	1.0000	1.0000	1	0.9999	0.9999	1
COG0017	J	Aspartyl/asparaginyl-tRNA synthetase	0.3200	0.9972	1	1.0000	0.9998	1	0.3598	0.9945	1	1.0000	1.0000	1	1.0000	0.9998	1
COG0018	J	Arginyl-tRNA synthetase	0.2200	0.9842	1	0.9900	0.9982	1	0.4200	0.9801	1	1.0000	0.9999	1	0.9999	0.9996	1
COG0019	E	Diaminopimelate decarboxylase	0.0150	0.8933	1	0.5400	0.7900	1	0.0600	0.8790	1	1.0000	0.9875	1	0.9999	0.8870	1
COG0020	I	Undecaprenyl pyrophosphate synthase	0.4450	0.9973	1	0.9900	0.9995	1	0.6200	0.9957	1	1.0000	0.9999	1	1.0000	0.9998	1
COG0021	G	Transketolase	0.0000	0.0057	0	0.0000	0.0000	0	0.0000	0.0175	0	0.0000	0.0000	0	0.0000	0.0000	0
COG0022	C	Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component, beta subunit	0.0000	0.0401	0	0.0900	0.0837	0	0.0000	0.0721	0	1.0000	0.3729	0	0.9999	0.1861	0
COG0023	J	Translation initiation factor 1 (eIF-1/SUI1)	0.3000	0.9832	1	0.9000	0.9990	1	0.0500	0.9764	1	1.0000	0.9997	1	1.0000	0.9991	1
COG0024	J	Methionine aminopeptidase	0.5450	0.9951	1	1.0000	0.9985	1	0.9600	0.9952	1	1.0000	0.9998	1	1.0000	0.9995	1
COG0025	P	NhaP-type Na+/H+ or K+/H+ antiporter	0.0000	0.2110	0	0.9000	0.4377	0	0.0200	0.2986	0	1.0000	0.8402	1	0.8120	0.3866	0
COG0026	F	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)	0.0000	0.0246	0	0.0000	0.0004	0	0.0000	0.0234	0	0.9998	0.1373	0	0.0012	0.0064	0
COG0027	F	Formate-dependent phosphoribosylglycinamide formyltransferase (GAR transformylase)	0.0000	0.1048	0	0.3700	0.1732	0	0.0000	0.0676	0	0.9966	0.1730	0	0.0547	0.1077	0
COG0028	EH	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme	0.0000	0.9177	1	0.7261	0.8976	1	0.0000	0.9386	1	1.0000	0.9992	1	1.0000	0.9912	1
COG0029	H	Aspartate oxidase	0.0150	0.3335	0	0.0600	0.0875	0	0.0000	0.0752	0	1.0000	0.4796	0	0.2004	0.2248	0
COG0030	J	16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM1 (may also have DNA glycosylase/AP lyase activity)	0.8250	0.9930	1	1.0000	0.9959	1	0.7900	0.9881	1	1.0000	0.9996	1	0.9999	0.9991	1
COG0031	E	Cysteine synthase	0.0050	0.7152	1	0.0000	0.1154	0	0.0000	0.5361	1	1.0000	0.9263	1	1.0000	0.8719	1
COG0033	G	Phosphoglucomutase/phosphomannomutase	0.0000	0.0013	0	0.0000	0.0008	0	0.0000	0.0007	0	0.0000	0.0021	0	0.0000	0.0009	0
COG0034	F	Glutamine phosphoribosylpyrophosphate amidotransferase	0.0300	0.9889	1	0.9903	0.9749	1	0.1700	0.9924	1	1.0000	0.9985	1	0.9996	0.9932	1
COG0035	F	Uracil phosphoribosyltransferase	0.0000	0.0682	0	0.0100	0.0696	0	0.0000	0.0253	0	1.0000	0.7501	1	0.5980	0.3410	0
COG0036	G	Pentose-5-phosphate-3-epimerase	0.0000	0.0928	0	0.8500	0.0163	0	0.0100	0.4458	0	1.0000	0.0024	0	0.9969	0.0113	0
COG0037	J	tRNA(Ile)-lysidine synthase TilS/MesJ	0.0450	0.9973	1	1.0000	0.9997	1	0.7800	0.9980	1	1.0000	0.9999	1	1.0000	0.9999	1
COG0038	P	H+/Cl- antiporter ClcA	0.1350	0.8876	1	0.9600	0.9625	1	0.0500	0.7657	1	1.0000	0.9986	1	0.9991	0.9682	1
COG0039	C	Malate/lactate dehydrogenase	0.0050	0.6376	1	0.1600	0.5384	1	0.0000	0.2946	0	1.0000	0.9736	1	0.9997	0.8657	1
COG0040	E	ATP phosphoribosyltransferase	0.0000	0.9706	1	0.0700	0.9851	1	0.0000	0.9659	1	1.0000	0.9999	1	0.9999	0.9993	1
COG0041	F	Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase	0.0000	0.9582	1	0.8600	0.9708	1	0.0200	0.9801	1	1.0000	0.9983	1	0.9999	0.9957	1
COG0042	J	tRNA-dihydrouridine synthase	0.0000	0.1101	0	0.7090	0.0555	0	0.0000	0.0406	0	1.0000	0.1868	0	0.3501	0.0156	0
COG0043	H	3-polyprenyl-4-hydroxybenzoate decarboxylase	0.4950	0.9983	1	0.9900	0.9998	1	0.5400	0.9958	1	1.0000	1.0000	1	1.0000	0.9998	1
COG0044	F	Dihydroorotase or related cyclic amidohydrolase	0.2800	0.9983	1	0.1900	0.9955	1	0.0000	0.9934	1	1.0000	0.9998	1	1.0000	0.9996	1
COG0045	C	Succinyl-CoA synthetase, beta subunit	0.1500	0.9435	1	0.9800	0.9691	1	0.1200	0.9472	1	1.0000	0.9995	1	0.9999	0.9927	1
COG0046	F	Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain	0.0000	0.9751	1	0.0700	0.9680	1	0.0000	0.9810	1	1.0000	0.9986	1	0.9999	0.9946	1
COG0047	F	Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain	0.0800	0.9791	1	0.9800	0.9950	1	0.2600	0.9899	1	1.0000	0.9999	1	0.9999	0.9986	1
COG0048	J	Ribosomal protein S12	0.0050	0.9888	1	0.9800	0.9995	1	0.4200	0.9934	1	1.0000	0.9998	1	0.9999	0.9998	1
COG0049	J	Ribosomal protein S7	0.7500	0.9933	1	0.9700	0.9996	1	0.1700	0.9905	1	1.0000	0.9999	1	0.9999	0.9999	1
COG0050	J	Translation elongation factor EF-Tu, a GTPase	0.0000	0.0023	0	0.0000	0.0000	0	0.0000	0.0028	0	0.0000	0.0000	0	0.0000	0.0000	0
COG0051	J	Ribosomal protein S10	0.3350	0.9880	1	0.8200	0.9988	1	0.0300	0.9870	1	1.0000	0.9998	1	0.9999	0.9995	1
COG0052	J	Ribosomal protein S2	0.0350	0.9868	1	0.9900	0.9991	1	0.1000	0.9880	1	1.0000	0.9995	1	0.9999	0.9997	1
COG0053	P	Divalent metal cation (Fe/Co/Zn/Cd) efflux pump	0.6300	0.9783	1	0.9309	0.9819	1	0.1600	0.9228	1	1.0000	0.9987	1	1.0000	0.9926	1
COG0054	H	6,7-dimethyl-8-ribityllumazine synthase (Riboflavin synthase beta chain)	0.0500	0.8720	1	1.0000	0.9079	1	0.4900	0.9214	1	1.0000	0.9965	1	0.9990	0.9270	1
COG0055	C	FoF1-type ATP synthase, beta subunit	0.0000	0.0028	0	0.0000	0.0002	0	0.0000	0.0030	0	0.0012	0.0025	0	0.0000	0.0001	0
COG0056	C	FoF1-type ATP synthase, alpha subunit	0.0000	0.0039	0	0.0000	0.0003	0	0.0000	0.0036	0	0.0012	0.0017	0	0.0000	0.0002	0
COG0057	G	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase	0.4850	0.9909	1	0.9900	0.9945	1	0.2500	0.9862	1	1.0000	0.9998	1	0.9999	0.9994	1
COG0058	G	Glucan phosphorylase	0.0000	0.1803	0	0.2500	0.4007	0	0.0000	0.0782	0	1.0000	0.9326	1	0.9986	0.7175	1
COG0059	EH	Ketol-acid reductoisomerase	0.0000	0.9335	1	0.9200	0.9492	1	0.0400	0.9642	1	1.0000	0.9989	1	0.9999	0.9955	1
COG0060	J	Isoleucyl-tRNA synthetase	0.7150	0.9909	1	1.0000	0.9996	1	0.8100	0.9902	1	1.0000	0.9999	1	0.9999	0.9999	1
COG0061	H	NAD kinase	0.0150	0.9947	1	0.2500	0.9987	1	0.0000	0.9787	1	1.0000	1.0000	1	1.0000	0.9998	1
COG0062	F	NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate epimerase domain	0.0000	0.0137	0	0.0000	0.0023	0	0.0000	0.0143	0	0.0007	0.1736	0	0.0000	0.0060	0
COG0063	F	NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate dehydratase domain	0.0250	0.9942	1	0.9616	0.9999	1	0.0700	0.9936	1	1.0000	1.0000	1	0.9999	1.0000	1
COG0064	J	Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit	0.0000	0.6148	1	1.0000	0.9280	1	0.2600	0.8326	1	1.0000	0.9903	1	0.9999	0.9436	1
COG0065	E	Homoaconitase/3-isopropylmalate dehydratase large subunit	0.0000	0.9864	1	0.9700	0.9774	1	0.0700	0.9930	1	1.0000	0.9998	1	1.0000	0.9992	1
COG0066	E	3-isopropylmalate dehydratase small subunit	0.0000	0.9898	1	0.9500	0.9954	1	0.0700	0.9950	1	1.0000	1.0000	1	1.0000	0.9998	1
COG0067	E	Glutamate synthase domain 1	0.0050	0.7768	1	0.6700	0.6644	1	0.0200	0.5133	1	1.0000	0.9915	1	0.9691	0.9194	1
COG0068	O	Hydrogenase maturation factor HypF (carbamoyltransferase)	0.5050	0.9979	1	0.9700	0.9996	1	0.3000	0.9821	1	1.0000	1.0000	1	0.9999	0.9999	1
COG0069	E	Glutamate synthase domain 2	0.0500	0.9065	1	0.3400	0.9704	1	0.0000	0.6761	1	1.0000	0.9971	1	1.0000	0.9937	1
COG0070	E	Glutamate synthase domain 3	0.0000	0.5574	1	0.0100	0.8763	1	0.0000	0.1796	0	0.9999	0.9854	1	0.8618	0.9525	1
COG0071	O	Small heat shock protein IbpA, HSP20 family	0.0000	0.9935	1	0.8514	0.9999	1	0.0300	0.9960	1	1.0000	1.0000	1	1.0000	1.0000	1
COG0072	J	Phenylalanyl-tRNA synthetase beta subunit	0.1550	0.9875	1	0.9900	0.9969	1	0.2500	0.9873	1	1.0000	0.9971	1	0.9999	0.9977	1
COG0073	J	tRNA-binding EMAP/Myf domain	0.0000	0.0819	0	0.8900	0.0525	0	0.0000	0.1140	0	1.0000	0.0740	0	0.9878	0.1291	0
COG0074	C	Succinyl-CoA synthetase, alpha subunit	0.2600	0.8867	1	0.9812	0.9431	1	0.3000	0.8234	1	1.0000	0.9993	1	0.9999	0.9896	1
COG0075	EF	Archaeal aspartate aminotransferase or a related aminotransferase, includes purine catabolism protein PucG	0.2750	0.9908	1	0.9500	0.9984	1	0.1700	0.9882	1	1.0000	1.0000	1	1.0000	0.9997	1
COG0076	E	Glutamate or tyrosine decarboxylase or a related PLP-dependent protein	0.4850	0.9576	1	0.9907	0.9956	1	0.3400	0.8168	1	1.0000	0.9997	1	0.9999	0.9970	1
COG0077	E	Prephenate dehydratase	0.0050	0.9269	1	0.9200	0.7160	1	0.0600	0.9042	1	1.0000	0.9845	1	0.9999	0.9608	1
COG0078	E	Ornithine carbamoyltransferase	0.0250	0.3175	0	0.7900	0.0276	0	0.0400	0.4857	0	1.0000	0.0259	0	1.0000	0.0724	0
COG0079	E	Histidinol-phosphate/aromatic aminotransferase or cobyric acid decarboxylase	0.0000	0.9961	1	0.7700	0.9989	1	0.0900	0.9949	1	1.0000	1.0000	1	1.0000	0.9999	1
COG0080	J	Ribosomal protein L11	0.0050	0.9903	1	0.1200	0.9965	1	0.0000	0.9706	1	1.0000	0.9999	1	0.9999	0.9999	1
COG0081	J	Ribosomal protein L1	0.6200	0.9951	1	0.9200	0.9986	1	0.1200	0.9920	1	1.0000	0.9995	1	0.9999	0.9996	1
COG0082	E	Chorismate synthase	0.2850	0.9870	1	0.6000	0.9118	1	0.0200	0.9713	1	1.0000	0.9996	1	0.9999	0.9939	1
COG0083	E	Homoserine kinase	0.0750	0.8021	1	0.9300	0.8098	1	0.1000	0.7584	1	1.0000	0.8876	1	0.9999	0.8443	1
COG0084	N	3'->5' ssDNA/RNA exonuclease TatD	0.0000	0.6675	1	0.9100	0.9378	1	0.0200	0.8828	1	1.0000	0.8851	1	0.9999	0.9491	1
COG0085	K	DNA-directed RNA polymerase, beta subunit/140 kD subunit	0.0600	0.9914	1	0.9800	0.9996	1	0.5800	0.9967	1	1.0000	0.9998	1	1.0000	0.9998	1
COG0086	K	DNA-directed RNA polymerase, beta' subunit/160 kD subunit	0.0000	0.9873	1	0.9982	0.9999	1	0.6600	0.9986	1	1.0000	0.9999	1	1.0000	0.9999	1
COG0087	J	Ribosomal protein L3	0.3000	0.9943	1	1.0000	0.9996	1	0.7600	0.9970	1	1.0000	0.9997	1	0.9999	0.9997	1
COG0088	J	Ribosomal protein L4	0.0050	0.9943	1	1.0000	0.9996	1	0.3000	0.9967	1	1.0000	1.0000	1	0.9999	1.0000	1
COG0089	J	Ribosomal protein L23	0.0000	0.9752	1	0.9900	0.9975	1	0.6900	0.9951	1	1.0000	0.9993	1	0.9999	0.9994	1
COG0090	J	Ribosomal protein L2	0.1850	0.9913	1	0.9800	0.9978	1	0.1400	0.9923	1	1.0000	0.9997	1	0.9999	0.9997	1
COG0091	J	Ribosomal protein L22	0.2850	0.9923	1	0.9800	0.9986	1	0.3200	0.9933	1	1.0000	1.0000	1	0.9999	0.9998	1
COG0092	J	Ribosomal protein S3	0.6900	0.9965	1	1.0000	0.9996	1	0.9500	0.9973	1	1.0000	1.0000	1	0.9999	0.9999	1
COG0093	J	Ribosomal protein L14	0.2350	0.9969	1	0.5900	0.9998	1	0.0000	0.9877	1	1.0000	1.0000	1	0.9999	1.0000	1
COG0094	J	Ribosomal protein L5	0.9200	0.9989	1	0.9800	0.9999	1	0.6100	0.9980	1	1.0000	1.0000	1	0.9999	1.0000	1
COG0095	H	Lipoate-protein ligase A	0.0250	0.9190	1	0.9168	0.9111	1	0.0100	0.9124	1	1.0000	0.9978	1	1.0000	0.9930	1
COG0096	J	Ribosomal protein S8	0.0150	0.9961	1	1.0000	0.9999	1	0.2700	0.9962	1	1.0000	1.0000	1	1.0000	0.9999	1
COG0097	J	Ribosomal protein L6P/L9E	0.4750	0.9975	1	0.9400	0.9998	1	0.0100	0.9946	1	1.0000	1.0000	1	0.9999	0.9999	1
COG0098	J	Ribosomal protein S5	0.6550	0.9977	1	1.0000	0.9997	1	0.9900	0.9983	1	1.0000	0.9999	1	0.9999	0.9997	1
COG0099	J	Ribosomal protein S13	0.1800	0.9903	1	1.0000	0.9995	1	0.6900	0.9943	1	1.0000	0.9999	1	0.9999	0.9998	1
COG0100	J	Ribosomal protein S11	0.0000	0.9651	1	0.3500	0.9973	1	0.0000	0.9726	1	1.0000	0.9995	1	0.9999	0.9996	1
COG0101	J	tRNA U38,U39,U40 pseudouridine synthase TruA	0.0100	0.9767	1	0.9400	0.9814	1	0.1100	0.8477	1	1.0000	0.9974	1	0.9999	0.9875	1
COG0102	J	Ribosomal protein L13	0.0000	0.9621	1	0.9500	0.9986	1	0.2000	0.9900	1	1.0000	0.9996	1	0.9999	0.9996	1
COG0103	J	Ribosomal protein S9	0.0050	0.0284	0	0.9800	0.0047	0	0.3100	0.0598	0	1.0000	0.0010	0	0.9999	0.0013	0
COG0104	F	Adenylosuccinate synthase	0.0150	0.9929	1	0.6100	0.9839	1	0.0000	0.9706	1	1.0000	0.9996	1	0.9999	0.9987	1
COG0105	F	Nucleoside diphosphate kinase	0.0000	0.9123	1	0.0200	0.9388	1	0.0000	0.9060	1	1.0000	0.9994	1	0.9999	0.9921	1
COG0106	E	Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase	0.0000	0.9835	1	0.9900	0.9876	1	0.3900	0.9938	1	1.0000	0.9999	1	0.9997	0.9989	1
COG0107	E	Imidazole glycerol phosphate synthase subunit HisF	0.7750	0.9950	1	1.0000	0.9865	1	0.5100	0.9928	1	1.0000	0.9999	1	0.9999	0.9991	1
COG0108	H	3,4-dihydroxy-2-butanone 4-phosphate synthase	0.0000	0.6447	1	0.7900	0.8309	1	0.0300	0.8677	1	1.0000	0.9805	1	0.9964	0.8220	1
COG0109	HI	Polyprenyltransferase (heme O synthase)	0.0000	0.0859	0	0.7500	0.0815	0	0.0200	0.2994	0	1.0000	0.3250	0	0.9812	0.2053	0
COG0110	R	Acetyltransferase, isoleucine patch superfamily	0.0150	0.9094	1	0.7585	0.6868	1	0.0500	0.8272	1	1.0000	0.9070	1	1.0000	0.8639	1
COG0111	H	Phosphoglycerate dehydrogenase or related dehydrogenase	0.0550	0.9889	1	0.9900	0.9946	1	0.4700	0.9890	1	1.0000	0.9997	1	1.0000	0.9982	1
COG0112	E	Glycine/serine hydroxymethyltransferase	0.2900	0.9929	1	1.0000	0.9965	1	0.7500	0.9957	1	1.0000	0.9996	1	1.0000	0.9991	1
COG0113	H	Delta-aminolevulinic acid dehydratase, porphobilinogen synthase	0.0000	0.7499	1	0.8400	0.9592	1	0.0300	0.6484	1	1.0000	0.9994	1	0.9995	0.9057	1
COG0114	C	Fumarate hydratase class II	0.0000	0.0096	0	0.8300	0.0595	0	0.0000	0.0080	0	1.0000	0.2092	0	0.6817	0.1232	0
COG0115	EH	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase	0.2100	0.9219	1	0.6600	0.8047	1	0.0400	0.9540	1	1.0000	0.9396	1	0.9999	0.9152	1
COG0116	J	23S rRNA G2445 N2-methylase RlmL	0.0000	0.2683	0	0.9900	0.6167	1	0.0300	0.5685	1	0.9999	0.4095	0	0.9845	0.6605	1
COG0117	H	Riboflavin biosynthesis protein RibD, pyrimidine deaminase domain	0.0000	0.0215	0	0.0200	0.0024	0	0.0000	0.0476	0	0.8653	0.0322	0	0.0469	0.0013	0
COG0118	E	Imidazoleglycerol phosphate synthase glutamine amidotransferase subunit HisH	0.1050	0.9695	1	0.8500	0.9114	1	0.0300	0.9630	1	1.0000	0.9984	1	0.9999	0.9900	1
COG0119	E	Isopropylmalate/homocitrate/citramalate synthases	0.0650	0.9922	1	0.9940	0.9832	1	0.2200	0.9949	1	1.0000	0.9998	1	1.0000	0.9976	1
COG0120	G	Ribose 5-phosphate isomerase	0.0550	0.9906	1	0.9700	0.9954	1	0.3700	0.9897	1	1.0000	0.9993	1	0.9999	0.9987	1
COG0121	R	Predicted glutamine amidotransferase YafJ	0.0000	0.2269	0	0.4439	0.2774	0	0.0100	0.4009	0	1.0000	0.7103	1	0.9996	0.7127	1
COG0122	L	3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase	0.0200	0.5242	1	0.7500	0.4416	0	0.0100	0.4573	0	1.0000	0.7349	1	0.9998	0.4468	0
COG0123	Q	Acetoin utilization deacetylase AcuC or a related deacetylase	0.0350	0.9949	1	0.5020	0.9991	1	0.0000	0.9859	1	1.0000	1.0000	1	1.0000	0.9999	1
COG0124	J	Histidyl-tRNA synthetase	0.0950	0.9750	1	0.9500	0.9975	1	0.0100	0.9664	1	1.0000	0.9997	1	1.0000	0.9992	1
COG0125	F	Thymidylate kinase	0.0000	0.9666	1	0.0000	0.8416	1	0.0000	0.9638	1	1.0000	0.9974	1	1.0000	0.9947	1
COG0126	G	3-phosphoglycerate kinase	0.0300	0.9878	1	0.9800	0.9972	1	0.2200	0.9880	1	1.0000	1.0000	1	1.0000	0.9998	1
COG0127	F	Inosine/xanthosine triphosphate pyrophosphatase, all-alpha NTP-PPase family	0.1750	0.9959	1	1.0000	0.9992	1	0.6600	0.9969	1	1.0000	1.0000	1	0.9999	0.9999	1
COG0128	E	5-enolpyruvylshikimate-3-phosphate synthase	0.0000	0.9560	1	0.0000	0.7011	1	0.0000	0.9325	1	1.0000	0.9994	1	0.9999	0.9926	1
COG0129	EG	Dihydroxyacid dehydratase/phosphogluconate dehydratase	0.0100	0.9655	1	0.3400	0.9071	1	0.0000	0.9634	1	1.0000	0.9981	1	0.9997	0.9896	1
COG0130	J	tRNA U55 pseudouridine synthase TruB, may also work on U342 of tmRNA	0.0800	0.9810	1	0.2902	0.9968	1	0.0000	0.9347	1	1.0000	0.9996	1	0.9999	0.9998	1
COG0131	E	Imidazoleglycerol phosphate dehydratase HisB	0.0000	0.9755	1	0.2600	0.9771	1	0.0100	0.9850	1	1.0000	0.9999	1	0.9999	0.9985	1
COG0132	H	Dethiobiotin synthetase	0.0000	0.0408	0	0.0400	0.0112	0	0.0000	0.0277	0	0.9587	0.0314	0	0.0001	0.0034	0
COG0133	E	Tryptophan synthase beta chain	0.2100	0.9277	1	0.5000	0.3312	0	0.0000	0.5407	1	1.0000	0.9799	1	0.9989	0.9089	1
COG0134	E	Indole-3-glycerol phosphate synthase	0.0000	0.9511	1	0.7000	0.7095	1	0.0400	0.7291	1	1.0000	0.9998	1	0.9993	0.9945	1
COG0135	E	Phosphoribosylanthranilate isomerase	0.0500	0.9511	1	0.0300	0.7953	1	0.0000	0.5152	1	1.0000	0.9990	1	0.9999	0.9773	1
COG0136	E	Aspartate-semialdehyde dehydrogenase	0.7200	0.9946	1	0.9935	0.9840	1	0.2400	0.9865	1	1.0000	0.9998	1	0.9999	0.9970	1
COG0137	E	Argininosuccinate synthase	0.0850	0.9881	1	0.9700	0.9574	1	0.1400	0.9901	1	1.0000	0.9993	1	0.9999	0.9939	1
COG0138	F	AICAR transformylase/IMP cyclohydrolase PurH	0.0000	0.2828	0	0.5700	0.2065	0	0.0000	0.3985	0	0.9978	0.5144	1	0.3586	0.2004	0
COG0139	E	Phosphoribosyl-AMP cyclohydrolase	0.1850	0.9888	1	0.9900	0.9819	1	0.1000	0.9862	1	1.0000	0.9997	1	0.9999	0.9973	1
COG0140	E	Phosphoribosyl-ATP pyrophosphohydrolase	0.0000	0.2701	0	0.8400	0.6788	1	0.0000	0.1296	0	0.9997	0.9276	1	0.9149	0.7483	1
COG0141	E	Histidinol dehydrogenase	0.0500	0.9890	1	0.9800	0.9863	1	0.2300	0.9908	1	1.0000	0.9999	1	0.9999	0.9992	1
COG0142	H	Geranylgeranyl pyrophosphate synthase	0.7900	0.9992	1	1.0000	0.9994	1	0.6400	0.9990	1	1.0000	0.9999	1	1.0000	0.9998	1
COG0143	J	Methionyl-tRNA synthetase	0.1550	0.9886	1	0.9600	0.9990	1	0.2000	0.9844	1	1.0000	0.9998	1	0.9999	0.9996	1
COG0144	J	16S rRNA C967 or C1407 C5-methylase, RsmB/RsmF family	0.3900	0.9527	1	0.6518	0.9268	1	0.0000	0.7515	1	1.0000	0.9170	1	1.0000	0.9718	1
COG0145	EQ	N-methylhydantoinase A/oxoprolinase/acetone carboxylase, beta subunit	0.0450	0.7829	1	0.3730	0.7896	1	0.0000	0.4007	0	1.0000	0.9956	1	0.9999	0.9873	1
COG0146	EQ	N-methylhydantoinase B/oxoprolinase/acetone carboxylase, alpha subunit	0.0000	0.2927	0	0.0400	0.4636	0	0.0000	0.1233	0	1.0000	0.9861	1	0.9995	0.9689	1
COG0147	EH	Anthranilate/para-aminobenzoate synthases component I	0.0250	0.9573	1	0.7700	0.4949	0	0.0200	0.8128	1	1.0000	0.9976	1	0.9993	0.9431	1
COG0148	G	Enolase	0.3200	0.9958	1	0.9908	0.9995	1	0.1700	0.9958	1	1.0000	1.0000	1	0.9999	0.9996	1
COG0149	G	Triosephosphate isomerase	0.0250	0.9911	1	0.7100	0.9968	1	0.0100	0.9851	1	1.0000	0.9999	1	0.9999	0.9998	1
COG0150	F	Phosphoribosylaminoimidazole (AIR) synthetase	0.0100	0.9717	1	0.8600	0.9819	1	0.0200	0.9806	1	1.0000	0.9993	1	0.9997	0.9966	1
COG0151	F	Phosphoribosylamine-glycine ligase	0.3350	0.9722	1	0.8999	0.9183	1	0.0700	0.9671	1	1.0000	0.9925	1	0.9999	0.9856	1
COG0152	F	Phosphoribosylaminoimidazole-succinocarboxamide synthase	0.0450	0.9865	1	0.6200	0.9769	1	0.0200	0.9901	1	1.0000	0.9988	1	0.9999	0.9968	1
COG0153	G	Galactokinase	0.0000	0.0289	0	0.0400	0.0311	0	0.0000	0.0251	0	1.0000	0.2411	0	0.7095	0.2050	0
COG0154	J	Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit or related amidase	0.0000	0.5756	1	0.8900	0.8578	1	0.0100	0.8445	1	1.0000	0.9976	1	0.9999	0.9640	1
COG0155	P	Sulfite reductase, beta subunit (hemoprotein)	0.0000	0.0775	0	0.3000	0.0099	0	0.0000	0.0410	0	0.9999	0.0490	0	0.0301	0.0091	0
COG0156	H	7-keto-8-aminopelargonate synthetase or related enzyme	0.0000	0.2460	0	0.6508	0.0883	0	0.0000	0.1656	0	1.0000	0.2333	0	0.9996	0.1933	0
