COG_ID	input_prob	input_present	candidate	q_full_mean	q_full_sd	q_mask_neutral_mean	q_mask_neutral_sd	q_mask_absent_mean	q_mask_absent_sd	self_anchor_neutral	self_anchor_absent	residual_context	dropout_mean	dropout_consensus
COG1884	1	1	1	0.986668	0.0162138	0.938814	0.0773607	0.83739	0.206761	0.0478547	0.149278	2.22379	0.9931	1
COG1885	0.5122	1	1	0.993588	0.00438736	0.986521	0.00887648	0.948109	0.0346224	0.00706768	0.0454796	9.31918	0.852806	0.8875
COG1887	0.9956	1	1	0.428505	0.170247	0.0764796	0.0479281	0.00816076	0.00609341	0.352025	0.420344	-3.52603	0.300936	0.30625
COG1888	1	1	1	0.999686	0.000295217	0.996968	0.00232875	0.971544	0.0170692	0.00271869	0.028142	7.47002	0.885323	0.98125
COG1889	1	1	1	0.369573	0.0718761	0.0470834	0.011916	0.00492649	0.00205089	0.32249	0.364647	-0.261263	0.0207576	0
COG1890	1	1	1	0.999978	4.14694e-05	0.999666	0.000590972	0.994505	0.00869743	0.000311971	0.0054726	8.60238	0.940349	0.996875
COG1891	1	1	1	0.999467	0.000321067	0.996175	0.00241296	0.972811	0.0188968	0.00329238	0.026656	6.90696	0.815375	0.8875
COG1892	1	1	1	0.997426	0.00674444	0.978164	0.0525815	0.883888	0.193384	0.019262	0.113538	6.17923	0.572811	0.559375
COG1893	1	1	1	0.9645	0.022656	0.803577	0.111024	0.451288	0.271593	0.160923	0.513212	-0.0478131	0.985088	1
COG1894	1	1	1	0.965605	0.0496633	0.889335	0.130008	0.690155	0.268485	0.0762706	0.275451	0.0926524	0.972726	0.996875
COG1895	1	1	1	0.999228	0.000678821	0.989831	0.00725359	0.890972	0.0712306	0.00939721	0.108256	4.79846	0.737097	0.7625
COG1896	1	1	1	0.449771	0.272679	0.134408	0.179987	0.0237273	0.0476254	0.315363	0.426044	-3.25724	0.474599	0.459375
COG1898	1	1	1	0.992592	0.00555405	0.957328	0.0323164	0.763646	0.16162	0.0352631	0.228946	0.969028	0.940766	0.98125
COG1899	1	1	1	0.999999	1.74144e-06	0.999987	2.6534e-05	0.999799	0.000439594	1.17421e-05	0.000199854	10.0955	0.994359	1
COG1900	1	1	1	0.992584	0.00877899	0.932407	0.0642742	0.669645	0.20789	0.0601767	0.322939	4.22588	0.486539	0.459375
COG1901	1	1	1	0.999087	0.00110821	0.988972	0.012309	0.890609	0.101184	0.0101149	0.108478	6.09039	0.809415	0.903125
COG1902	1	1	1	0.881552	0.101992	0.580068	0.237871	0.277713	0.303702	0.301484	0.603839	-0.943502	0.980908	1
COG1903	0.999	1	1	0.995956	0.00471321	0.960822	0.0521764	0.815441	0.176217	0.0351338	0.180515	3.09022	0.646831	0.68125
COG1904	0.028	1	1	0.00530473	0.00908887	0.00498037	0.00856684	0.000538269	0.000990586	0.000324359	0.00476646	-6.36698	0.0243555	0
